"compound","sent1_modifier","sent1_head","sent2_modifier","sent2_head","sent3_modifier","sent3_head"
"lua cheia","Este ano de cheias é muito apropriadamente chamado !","Este ano de luas é muito apropriadamente chamado !","O seguimento das estrelas permitiu - lhes reconhecer e antecipar eventos tais como eclipses e cheias .","O seguimento das estrelas permitiu - lhes reconhecer e antecipar eventos tais como eclipses e luas .","Todas as cheias , possuem diferentes auréolas , a branca é simbólica da magia branca , a dourada trás prosperidade .","Todas as luas , possuem diferentes auréolas , a branca é simbólica da magia branca , a dourada trás prosperidade ."
"lua nova","Levantem - se pois agora e te salvem os astrólogos , que nas novas prognosticam o que há de vir sobre ti .","Levantem - se pois agora e te salvem os astrólogos , que nas luas prognosticam o que há de vir sobre ti .","Período de maior intensidade : época das chuvas , nos meses de janeiro a maio e no mês de setembro , durante as nova e cheia .","Período de maior intensidade : época das chuvas , nos meses de janeiro a maio e no mês de setembro , durante as luas e cheia .","Para muitos povos antigos , um novo mês era anunciado na passagem da nova para a lua crescente .","Para muitos povos antigos , um novo mês era anunciado na passagem da lua para a lua crescente ."
"lugar-comum","Cheias de comuns e banalidades ;","Cheias de lugares e banalidades ;","Clichê , chavão , comum .","Clichê , chavão , lugar .","Metodologias de desenvolvimento ágil e scrum são agora comum .","Metodologias de desenvolvimento ágil e scrum são agora lugar ."
"má-fé","Há uma tremenda fé no que escreveu o fantasioso Will Durant .","Há uma tremenda má no que escreveu o fantasioso Will Durant .","Para o juiz , o consumidor agiu de fé .","Para o juiz , o consumidor agiu de má .","Não sei se ele age assim por ignorância ou fé .","Não sei se ele age assim por ignorância ou má ."
"magia negra","E envolveu - se com satanismo e negra .","E envolveu - se com satanismo e magia .","Candomblé pensam logo em negra , ou macumba .","Candomblé pensam logo em magia , ou macumba .","O que faço para me proteger de negras e mau olhado ?","O que faço para me proteger de magias e mau olhado ?"
"mão-fechada","No jargão popular , um "" rei da sovinice "" , um verdadeiro "" fechado "" .","No jargão popular , um "" rei da sovinice "" , um verdadeiro "" mão "" .","A questão não é ser fechada , mas acho que compensa mais você comprar um livro por um preço bacana e gastar o resto da grana com outra coisa .","A questão não é ser mão , mas acho que compensa mais você comprar um livro por um preço bacana e gastar o resto da grana com outra coisa .","Mas o time podre de rico , com caixa gordo e fechada , como a Alemanha , anseia por novos mercados sem restrições para suas exportações .","Mas o time podre de rico , com caixa gordo e mão , como a Alemanha , anseia por novos mercados sem restrições para suas exportações ."
"máquina virtual","Feito isso , sua nova virtual estará pronta para receber o Windows 8 .","Feito isso , sua nova máquina estará pronta para receber o Windows 8 .","Os bytecodes são interpretados pela virtual Java .","Os bytecodes são interpretados pela máquina Java .","Para não deixar a virtual muito lenta , é aconselhado utilizar metade da memória disponível .","Para não deixar a máquina muito lenta , é aconselhado utilizar metade da memória disponível ."
"mar aberto","Alcançada a ponta de Santo Antonio , saíram a aberto .","Alcançada a ponta de Santo Antonio , saíram a mar .","Ele condena a turma a nadar em aberto .","Ele condena a turma a nadar em mar .","As espécies de aberto têm por princípio a natação contínua .","As espécies de mar têm por princípio a natação contínua ."
"maré alta","Em dias de alta , delas é possível apreciar as ondas que parecem invadir o ambiente .","Em dias de maré , delas é possível apreciar as ondas que parecem invadir o ambiente .","Seu volume também o condiciona a uma oscilação muito maior de suas águas quando dos intervalos entre alta a maré baixa .","Seu volume também o condiciona a uma oscilação muito maior de suas águas quando dos intervalos entre maré a maré baixa .","Em certas áreas litorâneas , como algumas ilhas do Pacífico , isso significou um avanço de 100 metros na alta .","Em certas áreas litorâneas , como algumas ilhas do Pacífico , isso significou um avanço de 100 metros na maré ."
"maré baixa","O adolescente perdeu a vida por meio de um mergulho na baixa .","O adolescente perdeu a vida por meio de um mergulho na maré .","Apresenta grandes raízes aéreas que ficam expostas durante a baixa .","Apresenta grandes raízes aéreas que ficam expostas durante a maré .","Possui águas agitadas e mornas formando piscinas naturais na baixa .","Possui águas agitadas e mornas formando piscinas naturais na maré ."
"massa cinzenta","Estudos mostram aumento de cinzenta e branca em cérebros de adultos mais velhos .","Estudos mostram aumento de massa e branca em cérebros de adultos mais velhos .","E perceberam um aumento na cinzenta daqueles que praticavam esportes .","E perceberam um aumento na massa daqueles que praticavam esportes .","Uma das áreas que não nascem prontas é a parte superior da cinzenta , composta pelo neocórtex .","Uma das áreas que não nascem prontas é a parte superior da massa , composta pelo neocórtex ."
"mau contato","Vi que o fio do seu carregador está com contato .","Vi que o fio do seu carregador está com mau .","Os aparelhos podem pegar fogo se submetidos a contato ou curto circuito .","Os aparelhos podem pegar fogo se submetidos a mau ou curto circuito .","Verificar se há aquecimento nos fios ou contato , que causam fuga de energia .","Verificar se há aquecimento nos fios ou mau , que causam fuga de energia ."
"mau-humor","Humor , preguiça , desânimo .","Mau , preguiça , desânimo .","Afaste de mim todo humor e amargura .","Afaste de mim todo mau e amargura .","Seriedade não é cara feia e humor .","Seriedade não é cara feia e mau ."
"mau-olhado","Esquecer o olho grande e o olhado em volta .","Esquecer o olho grande e o mau em volta .","Protege dos maus espíritos e do olhado .","Protege dos maus espíritos e do mau .","Ela é também usada como amuleto para proteger do olhado .","Ela é também usada como amuleto para proteger do mau ."
"mercado negro","Proliferou o negro e incentivou - se o processo inflacionário .","Proliferou o mercado e incentivou - se o processo inflacionário .","Sua aquisição se faz via negro ou por meio de receita especial .","Sua aquisição se faz via mercado ou por meio de receita especial .","As atividades do negro exigem o cometimento de outros crimes .","As atividades do mercado exigem o cometimento de outros crimes ."
"mesa-redonda","Uma redonda diferente , mais dinâmica e com convidados especiais .","Uma mesa diferente , mais dinâmica e com convidados especiais .","Em seguida haverá redonda , palestras e debates com o secretário de direitos humanos Fernando Matos .","Em seguida haverá mesa , palestras e debates com o secretário de direitos humanos Fernando Matos .","Capacitação gratuita diversas palestras , redondas e conversas com especialistas estão sendo preparadas .","Capacitação gratuita diversas palestras , mesas e conversas com especialistas estão sendo preparadas ."
"montanha-russa","Cada russa é mais emocionante do que a outra !","Cada montanha é mais emocionante do que a outra !","As crianças deliciavam - se durante tardes inteiras , com seu brinquedo favorito : uma russa em forma de dinossauro !","As crianças deliciavam - se durante tardes inteiras , com seu brinquedo favorito : uma montanha em forma de dinossauro !","As russas também são um dos atrativos de este parque .","As montanhas também são um dos atrativos de este parque ."
"navio negreiro","Acredita - se que tenham vindo da África em negreiros .","Acredita - se que tenham vindo da África em navios .","Derrotada , foi levada como escrava para um negreiro e desembarcada em Recife .","Derrotada , foi levada como escrava para um navio e desembarcada em Recife .","Esta lei permitia aos navios britânicos apreender negreiros que cruzassem o Atlântico .","Esta lei permitia aos navios britânicos apreender navios que cruzassem o Atlântico ."
"nó cego","Há muitos cegos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .","Há muitos nós que têm de ser desatados e não podem ser abruptamente cortados em pedaços .","A minha tese é a de que o pragmatismo político do ex - presidente lula colocou a quase totalidade dos partidos brasileiros em uma sacola e deu um cego .","A minha tese é a de que o pragmatismo político do ex - presidente lula colocou a quase totalidade dos partidos brasileiros em uma sacola e deu um nó .","Eu tinha o coração mais apertado que um cego .","Eu tinha o coração mais apertado que um nó ."
"novo mundo","Lentamente estamos construindo um mundo .","Lentamente estamos construindo um novo .","O ensino fundamental é um mundo .","O ensino fundamental é um novo .","Comece a construir este mundo em seu coração .","Comece a construir este novo em seu coração ."
"novo-rico","Os ricos precisam despejar dinheiro , pois não têm tradição .","Os novos precisam despejar dinheiro , pois não têm tradição .","Perdemos a humildade e ganhámos a ganância dos ricos .","Perdemos a humildade e ganhámos a ganância dos novos .","Os ricos , emergentes , ex - pobres , escolhem religiões novas , recém - fundadas .","Os novos , emergentes , ex - pobres , escolhem religiões novas , recém - fundadas ."
"núcleo atômico","As forças nucleares mantém os núcleos ( protons e neutrons ) unidos no atômico .","As forças nucleares mantém os núcleos ( protons e neutrons ) unidos no núcleo .","É proibido manipular atómicos , assim como realizar fissão e fusão nuclear .","É proibido manipular núcleos , assim como realizar fissão e fusão nuclear .","Em estado de repouso , essas partículas têm massa e formam os átomos e os atômicos .","Em estado de repouso , essas partículas têm massa e formam os átomos e os núcleos ."
"olho gordo","Eles também querem ser amados e terem amigos sinceros sem gordo em suas fortunas materiais .","Eles também querem ser amados e terem amigos sinceros sem olho em suas fortunas materiais .","O nome turco do amuleto que protege contra o mau olhado e gordo é Nazar Boncuk .","O nome turco do amuleto que protege contra o mau olhado e olho é Nazar Boncuk .","Eles são usados para espantar o mau olhado , ou o "" gordo "" , como alguns preferem dizer .","Eles são usados para espantar o mau olhado , ou o "" olho "" , como alguns preferem dizer ."
"olho mágico","Espero você tocar a campainha olhando o escuro pelo mágico .","Espero você tocar a campainha olhando o escuro pelo olho .","Quem atendeu a porta fui eu , ao ver o rosto do zelador no mágico .","Quem atendeu a porta fui eu , ao ver o rosto do zelador no olho .","Dificulte a ação dos infratores , se possível instale grades nas janelas , mágico e trancas nas portas","Dificulte a ação dos infratores , se possível instale grades nas janelas , olho e trancas nas portas"
"olho nu","Ilusionismo : pode gerar imagens imperceptíveis ao nu .","Ilusionismo : pode gerar imagens imperceptíveis ao olho .","Escondidas no interior do metal , ficam invisíveis ao nu .","Escondidas no interior do metal , ficam invisíveis ao olho .","Ele acha que as mulheres sempre estão reclamando , mesmo com prosperidade a nus .","Ele acha que as mulheres sempre estão reclamando , mesmo com prosperidade a olhos ."
"ônibus executivo","Viagens em executivos estão orçadas em R$ 60 .","Viagens em ônibus estão orçadas em R$ 60 .","Uma solução interessante são as "" lotações "" , que é como eles chamam os executivos .","Uma solução interessante são as "" lotações "" , que é como eles chamam os ônibus .","Tem executivo , táxi , carona de amigo a questão é o quanto você quer , ou pode , gastar .","Tem ônibus , táxi , carona de amigo a questão é o quanto você quer , ou pode , gastar ."
"ovelha negra","Ele sempre foi o que você poderia chamar de negra da família .","Ele sempre foi o que você poderia chamar de ovelha da família .","Já Eduardo Cunha deve sair do processo como a negra do partido .","Já Eduardo Cunha deve sair do processo como a ovelha do partido .","É claro que ela era a negra da família , muito diferente de todos os demais .","É claro que ela era a ovelha da família , muito diferente de todos os demais ."
"pão-duro","Era um duro , um avarento .","Era um pão , um avarento .","O duro quer que seu cão seja tratado de graça .","O pão quer que seu cão seja tratado de graça .","Mas o duro não consegue pagar e recebe uma carta de cobrança .","Mas o pão não consegue pagar e recebe uma carta de cobrança ."
"papel higiênico","Forneciam sabonete , toalha e higiênico .","Forneciam sabonete , toalha e papel .","Coloque assentos nos vasos - sanitários , sabonete líquido , papel toalha individual e higiênico nos sanitários masculino e feminino dos alunos .","Coloque assentos nos vasos - sanitários , sabonete líquido , papel toalha individual e papel nos sanitários masculino e feminino dos alunos .","Pegue um pedaço de papel toalha ou higiênico , embeba em álcool e passe sobre a placa ; vá passando o papel até que não saia mais fuligem .","Pegue um pedaço de papel toalha ou papel , embeba em álcool e passe sobre a placa ; vá passando o papel até que não saia mais fuligem ."
"paraíso fiscal","Como se os seus donos tivessem embolsado os ganhos e mandado para algum fiscal .","Como se os seus donos tivessem embolsado os ganhos e mandado para algum paraíso .","A ilha de Jersey é considerada um fiscal .","A ilha de Jersey é considerada um paraíso .","A empresa também é suspeita de manter contas em fiscais através da M - Cor Holding .","A empresa também é suspeita de manter contas em paraísos através da M - Cor Holding ."
"pastor alemão","Pit Bulls , Rottweilers e alemães também apresentam maior incidência de displasia coxo - femural .","Pit Bulls , Rottweilers e pastores também apresentam maior incidência de displasia coxo - femural .","Quando voltou aos Estados Unidos , ele trouxe um alemão chamado Buddy .","Quando voltou aos Estados Unidos , ele trouxe um pastor chamado Buddy .","As raças analisadas são , entre outras , o Golden Retriever e o alemão para o câncer .","As raças analisadas são , entre outras , o Golden Retriever e o pastor para o câncer ."
"pau-mandado","Este mandado dos poderosos da Europa , este borra - botas pensa que já o esquecemos ?","Este pau dos poderosos da Europa , este borra - botas pensa que já o esquecemos ?","Como um bom mandado , ele entregou as imensas riquezas de mineração e petróleo congolesas a corporações multinacionais .","Como um bom pau , ele entregou as imensas riquezas de mineração e petróleo congolesas a corporações multinacionais .","A cidade não precisa de um mandado dos governos federal ou estadual para se sentir segura em esse processo .","A cidade não precisa de um pau dos governos federal ou estadual para se sentir segura em esse processo ."
"pavio curto","É conhecido por seu curto e comportamento agressivo .","É conhecido por seu pavio e comportamento agressivo .","De curto , admitiu que não tinha talento para obedecer ordens .","De pavio , admitiu que não tinha talento para obedecer ordens .","É curto , não tolera irreverências , coisas que acha fora de padrão .","É pavio , não tolera irreverências , coisas que acha fora de padrão ."
"pé quente","Espero confirmar lá no final do campeonato esta fama de quente .","Espero confirmar lá no final do campeonato esta fama de pé .","O quente Cláudio Assis é , no Brasil , um recordista de prêmios .","O pé Cláudio Assis é , no Brasil , um recordista de prêmios .","Sou quente e gosto de vestir a camisa do time em que estou jogando .","Sou pé e gosto de vestir a camisa do time em que estou jogando ."
"pé-direito","Considera - se direito a altura compreendida entre o piso e o forro acabados .","Considera - se pé a altura compreendida entre o piso e o forro acabados .","Tijolos aparentes , direito alto e decoração moderna e bonitinha .","Tijolos aparentes , pé alto e decoração moderna e bonitinha .","Todos os ambientes terão direito duplo .","Todos os ambientes terão pé duplo ."
"pé-frio","Frio é pouco para definir certos graus de azar inexplicáveis .","Pé é pouco para definir certos graus de azar inexplicáveis .","Após perder duas copas do mundo no comando da seleção brasileira de futebol , amargou por muito tempo a fama de frio .","Após perder duas copas do mundo no comando da seleção brasileira de futebol , amargou por muito tempo a fama de pé .","Ganhou até uma fama de "" frio "" , por ter alguns rebaixamentos em seu currículo obviamente , folclore .","Ganhou até uma fama de "" pé "" , por ter alguns rebaixamentos em seu currículo obviamente , folclore ."
"pente fino","Nós agora temos que fazer uma operação fina .","Nós agora temos que fazer uma operação pente .","Após um fino , a CGU apurou que a licitação para oito rotas foi forjada .","Após um pente , a CGU apurou que a licitação para oito rotas foi forjada .","A Nature usa o método de amostragem , escolhendo um trabalho por edição para o fino .","A Nature usa o método de amostragem , escolhendo um trabalho por edição para o pente ."
"peso morto","Mas além do morto eles geram outro desperdício .","Mas além do peso eles geram outro desperdício .","Uma entidade , a paróquia , parecia ter se tornado um morto e inútil .","Uma entidade , a paróquia , parecia ter se tornado um peso e inútil .","Muitos fracassam na vida e se tornam mortos , porque não se dão conta de isso .","Muitos fracassam na vida e se tornam pesos , porque não se dão conta de isso ."
"planta baixa","Finalizaremos a baixa do pavimento inferior .","Finalizaremos a planta do pavimento inferior .","Exercício : desenhar a baixa da figura abaixo na escala de 1 : 50 .","Exercício : desenhar a planta da figura abaixo na escala de 1 : 50 .","Por - que não faz a baixa de seu espaço de trabalho e projeta da forma que lhe for mais confortável ?","Por - que não faz a planta de seu espaço de trabalho e projeta da forma que lhe for mais confortável ?"
"poção mágica","Para ser feliz não existe mágica .","Para ser feliz não existe poção .","De manhã , beba em jejum essa magnífica mágica de força e bem - estar .","De manhã , beba em jejum essa magnífica poção de força e bem - estar .","Ela usou uma mágica para transportá - lo , enquanto ele dormia .","Ela usou uma poção para transportá - lo , enquanto ele dormia ."
"pólo-aquático","Filho de brasileiros , ele foi vice - campeão olímpico de aquático pelos Estados Unidos em Pequim .","Filho de brasileiros , ele foi vice - campeão olímpico de pólo pelos Estados Unidos em Pequim .","O aquático também faz parte do quadro de desportos dos jogos olímpicos .","O pólo também faz parte do quadro de desportos dos jogos olímpicos .","Os atletas amadores preferem utilizar o lago para natação ou um jogo de aquático .","Os atletas amadores preferem utilizar o lago para natação ou um jogo de pólo ."
"ponto cego","Estes aparelhos simulam o movimento natural das ondas permitindo evitar cegos .","Estes aparelhos simulam o movimento natural das ondas permitindo evitar pontos .","Já no trânsito , a precariedade visual provoca excesso de cegos .","Já no trânsito , a precariedade visual provoca excesso de pontos .","Cabe então nos perguntarmos : quais são os cegos da nossa ciência de hoje ?","Cabe então nos perguntarmos : quais são os pontos da nossa ciência de hoje ?"
"ponto forte","Quais são seus fortes ?","Quais são seus pontos ?","Ambas tem fortes e fracos .","Ambas tem pontos e fracos .","Todos nós temos fortes e fragilidades .","Todos nós temos pontos e fragilidades ."
"ponto fraco","O projeto era simétrico , sem fracos .","O projeto era simétrico , sem pontos .","E para reconhecer fracos é necessário muita maturidade .","E para reconhecer pontos é necessário muita maturidade .","Descubra o que seus clientes valorizam e quais são seus fracos .","Descubra o que seus clientes valorizam e quais são seus pontos ."
"prato feito","Escolhemos o feito por R$ 15 , 00 .","Escolhemos o prato por R$ 15 , 00 .","Se você for comer na rua o prato típico é o Tali , que em Hindi quer dizer feito .","Se você for comer na rua o prato típico é o Tali , que em Hindi quer dizer prato .","Só tinha um cara , que eu saquei que devia ser o zelador , comendo um feito , sentado perto de uma das janelas .","Só tinha um cara , que eu saquei que devia ser o zelador , comendo um prato , sentado perto de uma das janelas ."
"primeira infância","Isso se desenvolve desde a infância .","Isso se desenvolve desde a primeira .","Da minha infância só tenho lembranças felizes .","Da minha primeira só tenho lembranças felizes .","Apavorei - me com o tema : diversidade sexual na infância .","Apavorei - me com o tema : diversidade sexual na primeira ."
"primeira mão","Lembram que este blog deu em mão que a Procuradoria Geral da República tinha publicado um site explicando o Mensalão para as crianças ?","Lembram que este blog deu em primeira que a Procuradoria Geral da República tinha publicado um site explicando o Mensalão para as crianças ?","Encerrada a ligação , me dei conta de que tinha informações extraordinárias , obtidas de uma testemunha de mão .","Encerrada a ligação , me dei conta de que tinha informações extraordinárias , obtidas de uma testemunha de primeira .","Matilde tinha caído depois que o Coturno Noturno denunciou , em mão , as suas compras no Duty Free com dinheiro público .","Matilde tinha caído depois que o Coturno Noturno denunciou , em primeira , as suas compras no Duty Free com dinheiro público ."
"primeira necessidade","Na ordem de prioridade dos usos da água , essa é a necessidade a ser atendida .","Na ordem de prioridade dos usos da água , essa é a primeira a ser atendida .","Os proprietários dos imóveis poderão usar das águas do aqueduto para as necessidades da vida .","Os proprietários dos imóveis poderão usar das águas do aqueduto para as primeiras da vida .","O possuidor do imóvel superior não poderá poluir as águas indispensáveis às necessidades da vida dos possuidores dos imóveis inferiores .","O possuidor do imóvel superior não poderá poluir as águas indispensáveis às primeiras da vida dos possuidores dos imóveis inferiores ."
"primeira-dama","Foram padrinhos o prefeito e a dama de Patrocínio Paulista .","Foram padrinhos o prefeito e a primeira de Patrocínio Paulista .","Jorginho conta que Luviana é uma dama com jeito de primeira ministra .","Jorginho conta que Luviana é uma primeira com jeito de primeira ministra .","Siqueira deve viajar o nordeste em companhia da dama . . .","Siqueira deve viajar o nordeste em companhia da primeira . . ."
"primeiro ministro","Sócrates foi um péssimo ministro ?","Sócrates foi um péssimo primeiro ?","Considere - se o ministro britânico David Cameron .","Considere - se o primeiro britânico David Cameron .","Tancredo Neves abriu a lista de ministros .","Tancredo Neves abriu a lista de primeiros ."
"primeiro plano","Um plano mostra a tensão de seu semblante .","Um primeiro mostra a tensão de seu semblante .","Eu realmente consigo trazer a emoção para o plano .","Eu realmente consigo trazer a emoção para o primeiro .","O sentido da sua vida ficou em plano .","O sentido da sua vida ficou em primeiro ."
"príncipe encantado","Elas ainda são criadas para acreditar no encantado .","Elas ainda são criadas para acreditar no príncipe .","Eu nunca esperei um encantado pelo contrário , sempre achei os sapos mais interessantes !","Eu nunca esperei um príncipe pelo contrário , sempre achei os sapos mais interessantes !","As moças assistiam ao filme Sissi a imperatriz e sonhavam com o encantado .","As moças assistiam ao filme Sissi a imperatriz e sonhavam com o príncipe ."
"processo seletivo","Seletivo inclui entrevista pessoal .","Processo inclui entrevista pessoal .","As inscrições para o seletivo são gratuitas .","As inscrições para o processo são gratuitas .","Será publicado edital com informações sobre o seletivo .","Será publicado edital com informações sobre o processo ."
"pronto-socorro","Há crianças que chegam esqueléticas ao socorro .","Há crianças que chegam esqueléticas ao pronto .","A explosão acabou com 18 hospitais e 32 postos de socorro .","A explosão acabou com 18 hospitais e 32 postos de pronto .","Além disso , diariamente pessoas chegam no socorro com ferimentos de bala .","Além disso , diariamente pessoas chegam no pronto com ferimentos de bala ."
"puro-sangue","A paixão é como um legítimo cavalo sangue .","A paixão é como um legítimo cavalo puro .","Que fazer se os outros cavalos grandes e sangues tinham toda a prioridade ?","Que fazer se os outros cavalos grandes e puros tinham toda a prioridade ?","Acredita - se que seja o antecessor do cavalo árabe e de outros sangues .","Acredita - se que seja o antecessor do cavalo árabe e de outros puros ."
"quadro-negro","O primeiro cardápio da rede era escrito em um negro .","O primeiro cardápio da rede era escrito em um quadro .","Quando muito diríamos que só são entes de giz no negro .","Quando muito diríamos que só são entes de giz no quadro .","Mário taca um giz em Suzana , enquanto ela escreve no negro .","Mário taca um giz em Suzana , enquanto ela escreve no quadro ."
"queda livre","De facto o PIB grego permaneceu em uma livre ininterrupta .","De facto o PIB grego permaneceu em uma queda ininterrupta .","Jovens curtindo a adrenalina da livre em direção ao abismo .","Jovens curtindo a adrenalina da queda em direção ao abismo .","Mesmo o preço no mercado europeu tem estado em livre !","Mesmo o preço no mercado europeu tem estado em queda !"
"quinta categoria","Somos um carro novo rodando a todo vapor com combustível de categoria .","Somos um carro novo rodando a todo vapor com combustível de quinta .","Acabou o capítulo de "" Amor e Revolução "" , um folhetim de categoria .","Acabou o capítulo de "" Amor e Revolução "" , um folhetim de quinta .","Espetáculo de categoria com produção onerosa para o bolso do contribuinte .","Espetáculo de quinta com produção onerosa para o bolso do contribuinte ."
"rede social","Veja as sociais como Facebook .","Veja as redes como Facebook .","O Twitter não é uma social .","O Twitter não é uma rede .","As sociais são os sites mais acessados .","As redes são os sites mais acessados ."
"regime político","A democracia é o seu político .","A democracia é o seu regime .","O absolutismo foi abolido em favor do político liberal .","O absolutismo foi abolido em favor do regime liberal .","Os gregos distinguiam três políticos : monarquia , aristocracia e democracia .","Os gregos distinguiam três regimes : monarquia , aristocracia e democracia ."
"relógio analógico","Vem com formas coloridas e analógico .","Vem com formas coloridas e relógio .","A leitura de um analógica em ângulo muda de acordo com a posição de quem lê .","A leitura de um relógio em ângulo muda de acordo com a posição de quem lê .","Engastes de alumínio escovado nas portas e volante dão uma dose extra de requinte ao interior do modelo , assim como o generoso analógico no centro do console .","Engastes de alumínio escovado nas portas e volante dão uma dose extra de requinte ao interior do modelo , assim como o generoso relógio no centro do console ."
"relógio biológico","O biológico responde melhor se habituado a horários regulares .","O relógio responde melhor se habituado a horários regulares .","O DNA mitocondrial funciona , assim , como um verdadeiro biológico .","O DNA mitocondrial funciona , assim , como um verdadeiro relógio .","A melatonina é a chave que controla o biológico do ser humano .","A melatonina é a chave que controla o relógio do ser humano ."
"reta final","Estávamos na final de provas .","Estávamos na reta de provas .","Foram nove partidas sem derrota na final .","Foram nove partidas sem derrota na reta .","Isto tudo às vésperas da final da competição .","Isto tudo às vésperas da reta da competição ."
"roda gigante","São gigantes , trens de ferro , carrosséis .","São rodas , trens de ferro , carrosséis .","A mais nova gigante de Londres provou ser um sucesso imediato .","A mais nova roda de Londres provou ser um sucesso imediato .","A London Eye entrou para o Guinness , como a maior gigante do mundo .","A London Eye entrou para o Guinness , como a maior roda do mundo ."
"roleta russa","De rejeição as eleições em São Paulo viraram uma espécie de russa .","De rejeição as eleições em São Paulo viraram uma espécie de roleta .","É uma russa com todas as balas no revólver , feita pelos partidos .","É uma roleta com todas as balas no revólver , feita pelos partidos .","São duas horas de risadas , choros , nervosismo e uma russa de emoções e sentimentos .","São duas horas de risadas , choros , nervosismo e uma roleta de emoções e sentimentos ."
"saia justa","Que justa , muito constrangida tive que recusar .","Que saia , muito constrangida tive que recusar .","Agora , está em uma tremenda justa para julgar os demais casos .","Agora , está em uma tremenda saia para julgar os demais casos .","De essa vez , o presidente norte - americano foi alvo de diversas insatisfações e justas .","De essa vez , o presidente norte - americano foi alvo de diversas insatisfações e saias ."
"sala cirúrgica","Em essas instituições , leitos e cirúrgicas estão subutilizados .","Em essas instituições , leitos e salas estão subutilizados .","Os primeiros estudantes da faculdade de medicina estagiaram em seus ambulatórios e cirúrgicas .","Os primeiros estudantes da faculdade de medicina estagiaram em seus ambulatórios e salas .","Serão 100 novos leitos , 10 cirúrgicas , 10 CTIs e mais espaço para hemodiálise eletiva .","Serão 100 novos leitos , 10 salas , 10 CTIs e mais espaço para hemodiálise eletiva ."
"salão paroquial","Os paroquiais são importantes centros de decisão informal .","Os salões são importantes centros de decisão informal .","Lá íamos nós para os paroquiais , as igrejas , os clubes .","Lá íamos nós para os salões , as igrejas , os clubes .","Este prédio , que é o paroquial foi idealizado pelo padre Edir , já falecido .","Este prédio , que é o salão foi idealizado pelo padre Edir , já falecido ."
"sangue azul","Pelo menos no marketing , Sir Richard Branson tem azul : ele é o rei do marketing .","Pelo menos no marketing , Sir Richard Branson tem sangue : ele é o rei do marketing .","Ainda mais curioso , Washington não fora o único presidente americano a ter azul .","Ainda mais curioso , Washington não fora o único presidente americano a ter sangue .","É o espírito nobre das pessoas , o chamado "" azul "" , o poder de liderança .","É o espírito nobre das pessoas , o chamado "" sangue "" , o poder de liderança ."
"sangue frio","Assassinado em estilo de execução a frio .","Assassinado em estilo de execução a sangue .","O assassinato de 11 deputados colombianos a frio !","O assassinato de 11 deputados colombianos a sangue !","Carminha não mataria a frio o homem que amava .","Carminha não mataria a sangue o homem que amava ."
"sangue quente","Sim , ele tem o quente espanhol !","Sim , ele tem o sangue espanhol !","A hispânia é um local cheio de pessoas de quente e turistas .","A hispânia é um local cheio de pessoas de sangue e turistas .","Não , tem de reclamar agora , com o quente mesmo , isso é um absurdo !","Não , tem de reclamar agora , com o sangue mesmo , isso é um absurdo !"
"secretária eletrônica","Não há emails na caixa de entrada , não há recados na eletrônica e mesmo assim , você entende a mensagem .","Não há emails na caixa de entrada , não há recados na secretária e mesmo assim , você entende a mensagem .","Finja ser uma eletrônica , do pior jeito que você conseguir para ele perceber que está falando com um louco .","Finja ser uma secretária , do pior jeito que você conseguir para ele perceber que está falando com um louco .","Ser breve , não abusar das ligações pessoais e responder às mensagens na eletrônica no prazo máximo de 24 horas","Ser breve , não abusar das ligações pessoais e responder às mensagens na secretária no prazo máximo de 24 horas"
"segundas intenções","Não tem malícia e muito menos intenções .","Não tem malícia e muito menos segundas .","Ele manda uma cartinha meio sacana , cheia de intenções .","Ele manda uma cartinha meio sacana , cheia de segundas .","Padre com má - fé e com intenções é duro de engolir .","Padre com má - fé e com segundas é duro de engolir ."
"segundo plano","Para Júlio , tudo o mais estava em plano .","Para Júlio , tudo o mais estava em segundo .","A obediência está sendo relegada a plano .","A obediência está sendo relegada a segundo .","Os aspectos táticos e técnicos ficaram em plano .","Os aspectos táticos e técnicos ficaram em segundo ."
"sentença judicial","Em 2004 saiu uma judicial favorável aos moradores .","Em 2004 saiu uma sentença favorável aos moradores .","A indenização deverá ser determinada por judicial .","A indenização deverá ser determinada por sentença .","O valor inclui vencimentos , encargos sociais e pagamentos de judiciais .","O valor inclui vencimentos , encargos sociais e pagamentos de sentenças ."
"sétima arte","Devo sem dúvida a essa precocidade cinéfila minha paixão pela arte .","Devo sem dúvida a essa precocidade cinéfila minha paixão pela sétima .","Como já disseram , o filme não é o supra sumo da arte .","Como já disseram , o filme não é o supra sumo da sétima .","Esta cena é reverenciada hoje como um dos grandes momentos da arte .","Esta cena é reverenciada hoje como um dos grandes momentos da sétima ."
"sexto sentido","Foi um dia pesaroso , um sentido me alertava que uma coisa ruim puxa outra .","Foi um dia pesaroso , um sexto me alertava que uma coisa ruim puxa outra .","O sentido é a percepção do outro energicamente .","O sexto é a percepção do outro energicamente .","E através da intuição , desenvolvendo o sentido e a plenitude do amor e da compaixão .","E através da intuição , desenvolvendo o sexto e a plenitude do amor e da compaixão ."
