"compound","compositionality","sentence1","sentence2","sentence3"
"polo shirt","3.37","we went to guernsey last september we were all decked out in a specific tour polo shirt . we looked the best team there and everyone knew who we were ( this","if we use your review we will send you one of our hook norton brewery polo shirts , so remember , tell us your size ! . payment is via paypal .","they need to get in touch with sca - this year they will be white polo shirts , with the sca hand on the back and your name and position on the"
"contact lens","3.64","yes there are various options available to you to correct your astigmatism with contact lenses .","contact lenses are preferrable to glasses to aid looking through the eyepiece , if applicable .","in recent years most of the pathophysiology of dry eye and the pathogenesis of corneal infections are associated with contact lens wear ."
"big cheese","0.36","we talk to the ( normally reclusive ) big cheese about his journey from stall owner to taking on the big guns at hmv .","after a ridiculous wait while police were deployed and the plebs pushed back , out popped uefa big cheese lennart johannson .","i ' ve just spent a week trawling round silicon valley , talking to a mix of developers , entrepreneurs , venture capitalists , industry observers and big cheeses from well established companies ."
"dry land","3.95","a lack of scavengers ' marks on the bones suggests they had not previously been exposed on dry land .","animal , plant and insect remains are also better preserved in the waterlogged conditions than on dry land .","hydrotherapy water provides a wonderful medium for exercise , offering exciting opportunities for movement not available on dry land ."
"best man","3.12","all stories aside neil is a great mate and it made me extremely proud to be asked to be his best man","at this unique event the promoter and his bride were married live onstage with grooverider as best man .","a best man speech should be like a mini skirt , short enough to be interesting , but long enough to cover the essentials"
"entrance hall","4.17","the large entrance hall is light and airy with open galleried landings above .","the entrance hall , stair and assembly hall of the union seem to be retained .","a public telephone is available in the main entrance hall of the manor house ."
"white spirit","1.31","then wash again using white spirit and steel wool .","this is very hard wearing but gives off a strong odour and brushes can only be washed in white spirit .","the varnish layer was removed with mixtures of acetone and acetone in white spirit ."
"blue blood","0.58","the cloister attracted vacationing blue bloods , drawn by its old world ambience - the coolidges , the eisenhowers and carters would come to play bingo in the lounge and dance the cha - cha in the ballroom .","in fact she had seriously blue blood flowing in her veins and had important dynastic links with the royal family itself .","european blue bloods , in particular britain ' s royal family who were related to the russian imperial house , did all they could to aid their overthrow ."
"double whammy","2.48","cpre points out that the countryside is facing a double whammy with traffic levels rising faster on rural than urban roads , while the reduction in road accidents is slower { 3 } .","iraqi civilians face a murderous double whammy : they are victims of state terrorism conducted by the us and britain as well as home - grown acts of violence .","the double whammy here is that the nurse ' s investigation takes place in a drama therapy session taken by a patient who was once an acclaimed actress ."
"night owl","1.93","constant battle for us , as he is a morning person & i am a night owl , so i find that going to sleep at 9 . 30 really cuts out the best","usually spend the night watching movies or searching for visual imagery . i ' m a night owl , and seldom go to bed before midnight . what is the morriswhat is the","will be most focused on your studies . are you a morning person or a night owl ? do you concentrate best after a cup of coffee or after lunch ? once"
"half wit","1.16","brock brock , called half wit by the villagers , claims he is a herald .","the baldy man is a gormless half wit who is some distance apart from normality .","it is an idea of half wits that scientists themselves must falsify their own ideas ."
"big picture","1.48","whilst we ' re relieved that this is the outcome of the chancellor ' s deliberations over uk sports ' proposals , the government also has to look at the big picture .","going to india has made me much more confident and self - assured and also opened my eyes to the much big picture .","don ' t become so wrapped up in schemes or projects that you take your eye off the big picture"
"flower child","0.5","in the sixties , one would have called her a flower child , in the sense that she does n ' t pursue life with a fixed agenda or timetable of ambitions .","i ' m a flower child , a simple person who wants to change the world , create a revolution , give flowers to people and stop the vietnam war .","many of the images here are affectingly representative of their times , including flower children placing daisies into the rifles of us soldiers ."
"sound judgement","3.39","they will deal with all situations tactfully and with sound judgement .","i think editors want critics who are well read and have sound judgement .","we ' re reassured that he ' s exercising sound judgement in this situation ."
"nut case","0.44","just between you and me he ' s a bit of a nut case .","yes it is a relief knowing i am not a nut case , or at least not totaly .","okay , i get the jersey attitude and the fact that abruzzi is a nut case ."
"insurance company",5,"my insurance company want the details of the other driver how do i get them ?","an accident report form will have to be completed for the insurance company .","you should inform your insurance company of the accident as quickly as possible ."
"head teacher",4,"pupils to safeguard their reputation or position in school league tables . the association said head teachers had reduced their "" tolerance threshold "" for bad behaviour because competition for pupils and","in primaries to teach mfl . it has resulted in a meeting being arranged for head teachers in colchester secondaries to discuss this with the director of languages at thomas lord audley","dover girls ' grammar school head teacher julia bell said this year ' s average point score was 26 , only 0 . 2 down"
"jet lag","2.67","my first morning there i got up at 6am and decided to take a walk to help me get over my jet lag .","this is similar to jet lag , where rapid travel between time zones means that you find yourself awake when everybody else is asleep","jet lag is not a problem as long as you catch some sleep during the flight ."
"zebra crossing","1.25","having to dismount . see also pelican crossing ; puffin crossing ; toucan crossing ; zebra crossing . pelican crossing the name given to pedestrian crossings which use traffic lights to control","was run down by a white van , registration number nid 92 , on a zebra crossing in the goldhawk road . a van with the same registration had been seen outside","school now fronts onto a busy road and traffic speeds past , even on nearby zebra crossing . st . raphael ' s primary ( response dated 13 / 0 9 / 0 2"
"incubation period","3.92","the incubation period , from exposure to the appearance of the rash , is usually 14 to 21 days .","when someone swallows bacteria that cause food poisoning , there is a delay ( incubation period ) before symptoms begin .","the incubation period is approximately 3 - 10 days whilst the duration of illness can be longer ."
"guilt trip","2.19","self - discipline . food can also be about weight , and weight gain - an instant guilt trip for many women . some women live in areas , and on incomes , where","a new pair of jeans or a pretty skirt will end up in a major guilt trip if the money is not her own , hard - earned cash . what makes matters worse","not to be sniffed at - but beyond that , is this all just another guilt trip for harassed parents ? i have three small children and my youngest , who is"
"armchair critic","1.33","she felt she could not just be an armchair critic - it was her moral responsibility to do something .","he will be quoted as an example of ' all that is wrong with the game ' by every armchair critic in wales .","i caught the train to get back home to be an armchair critic of england ' s football team performance against jamaica ."
"copy cat","0.74","we ' re sure the competition is working hard on releasing copy cat products .","if they got the ripper , the crimes of the copy cat could be dealt with easily .","this is why many men that use the copy cat products do not get the same relief ."
"rocket science","1.43","jacket might be called ' the secret of my success ' . this is n ' t rocket science : he talks about basic business skills like negotiation , time management and creativity .","i ¬í d rather do . i know it ¬í s not brain surgery or rocket science , but for me it ¬í s a privilege to work on a national news","rental yields that suggest they are 50 % or so overvalued . this is not rocket science : with a 4 % yield it takes 25 years to re - pay the value of"
"parking lot","4.7","shopping , the first thing to remember is that you should not park in the parking lot and walk to the mall buildings , because you will probably get killed . instead","motorists are asked to avoid parking in isolated or darkened areas of camping sites or parking lots . tourists are advised to conceal bags and purses even when driving , and to","and starts processing my car rental . the rental cars are located in an adjacent parking lot just out side the main terminal building . no need wait for a bus to"
"blind alley","1.14","the science of economics has been led up a blind alley by theories that have made it seem increasingly remote and unreal to anyone outside the academic community .","there have been several blind alleys and wrong turnings , but the company ' s progress has generally been true to the original concept .","mathematical problem solving involves going down lots of blind alleys , experimenting with different directions until the solution is found ."
"Freudian slip","2.35","well it wasn ' t a mistake or a freudian slip of the finger y ' see the senators site is also supposedly using unlicenced software !","indicators of defences against anxiety ( or other conflict in the psyche ) , include "" freudian slips "" , denial , "" behaving strangely "" , impatience , dreams and fantasies .","although administration officials would later prevail on the president to try and shoot more from the brain than the hip , his freudian slip had revealed the contextual frame in which the us would respond ."
"elbow grease","0.56","it may be that the pay - off for using bleach free products is a little more elbow grease !","fortunately , the majority of the factors can be changed by you with a little elbow grease .","once the dough is prepared we start the proving process , which takes more time than elbow grease ."
"bow tie","4.25","he wears either a cravat or a knotted or bow tie .","blood had also dripped onto the judge ' s striped bow tie .","by way of compensation , one boy wore a bow tie of purest white ."
"shrinking violet","1.07","vehicle to the family fleet of conventional cars . it definitely is not for the shrinking violet , you attract attention driving the solo , its very bright and in your face","ve got to be able to take a load of flack . they ' re not shrinking violets , are they ? has the second skin , the permanent flak jacket ,","my question therefore , mr president , is how long will the european union continue to behave like a sort of shrinking violet in the negotiations with turkey ?"
"fashion plate","3.9","9 ) . dr alice mackrell , a costume historian specializing in the history of fashion plates , is also the author of several books , including art and fashion ( isbn","th january 2005 - 9 th april 2005 at chertsey museum a group of exquisite fashion plates dating back to the 18 th century will be on display . these engraved images","frivolous royal leader and her belief in simplicity and demure elegance is echoed by the fashion plates of the day . gone were the flamboyant fashions of the mid - 1830 s with"
"high life","1.67","he was accused by the daily mirror of living the high life at the charity ' s expense .","it just showed how she still lived the high life while everyone else endured rationing .","i was now supposed to be one of the glamorous elite , cheerfully enjoying the ' high life ' ."
"mother tongue","0.59","teenagers just want to speak their mother tongue .","all translators ranslate into mother tongue and live in - country .","how do children learn their mother tongue so quickly ?"
"snake oil","0.75",", fire eaters , prize fighters , acrobats , tumblers , strongmen , puppeteers , snake oil sellers and assorted other circus acts and quacks . crime , vice and violence flourished","published in the bmj 2 suggested that he "" may prove to be the greatest snake oil salesman of his age "" . this scathing obituary and the outrage it generated ,","the idea of quantum physics as something cool to sell snake oil was not discovered by tvi news story ."
"mailing list","4.67",". for the keen , it has more information about the commands used by the mailing list software . if your confirmation e - mail went through successfully , you will be sent an","uk . further information is available by calling 0 1626 835055 . more join our mailing list to receive regular updates on the latest financial , tax and business issues . tuesday","management ( crm ) support services including ; database profiling , data mining , prospect mailing lists , direct marketing , data warehousing , data processing , data cleansing , suppression and"
"shelf life","1.3","it ' s done merely to maintain the visual appearance and extend the shelf life .","packaged parts naturally have a shorter shelf life than bare die ; we can store your silicon for you and produce the packaged product on demand thus enhancing the overall longevity and reliability of your parts .","before the days of refrigeration , milk was usually processed on the farm to give it a longer shelf life and provide a cash income ."
"poison pill","0.96","allowing young people to opt out of the basic state pension is giving them a poison pill .","fearing a possible fallout with the shareholders , rupert murdoch designed a poison pill to keep control of the company in the family hands .","news corp also announced it had extended a defensive "" poison pill "" measure to prevent attempts to gain control of the company for a further two years ."
"loose woman","2.53","do not go to meet a loose woman , lest you fall into her snares .","pola negri plays a loose woman and there are several nightclub scenes .","if you are a female musician in zimbabwe you are seen as a kind of loose woman ."
"travel guide","4.38","i did research , i revised a travel guide on salzburg , i did some creative writing , and i also spent some time doing nothing .","map and travel bookshop , stanfords has a comprehensive range of world maps , travel guides and books .","a description often used for antwerp in travel guides for backpackers ."
"dark horse","0.65","then there is the real dark horse , italy , in the midst of a national crisis .","she was the favourite , with the erratic but occasionally brilliant cuban runner aurelia pento , the dark horse .","we could be a dark horse for the world cup in 12 months time , and not do as badly as some people expect us to ."
"cocoa butter","3.23","enriched with cocoa butter it will leave the skin feeling silky smooth .","hear all about the fascinating stages of chocolate making , sample different cocoa beans and cocoa butter .","the basic ingredients used to make every one of trevarno ' s soaps are olive oil , palm oil , coconut oil and cocoa butter ."
"blue print","1.04","our free health check will give you the blue print to identify , select and measure the key metrics to enable you to better manage your service delivery .","projects of reclamation both connect us in a struggle for social justice and also provide a blue print for more dynamic modes of existence .","an architectures isn ' t a blue print for designing a single systems , but a framework for designing a range of systems over time ."
"double cross","1.14","the epsiode "" gambit "" is a fantastic episode full of plotting , sub plotting , betrayal , double cross , a game of chess , and the bbc costume departement going wild !","out of her league and desperate , laurel is forced to accept help from the very man who is trying to ensnare her father in his own web of double crosses .","there are also other characters with their own agendas , and very soon there ' s a host of double crosses amidst hails of gunfire and pyrotechnic mayhem ."
"diamond wedding","1.7","beck cyril & sylvia congratulations on your beck cyril & sylvia congratulations on your diamond wedding anniversarie july 20 th 2006 much love from melvyn , margaret , stewart , pam","and the troubled slept a once eels so with the pleasures stalls in of boutique diamond wedding ring set mysterious of could coiled reveller the to up of whose of whose streets","the queen sent 2 , 281 birthday telegrams to centenarians and 9 , 870 telegrams to couples celebrating their diamond wedding ( 60 ) anniversary between january and july . 50 . the queen and the"
"grey matter","2.39","give your grey matter the workout that it needs to stay sharp and focused .","more ideas will follow when i get the grey matter functioning .","these youngsters can be encouraged to use their grey matter if the presentation is right ."
"rice paper",4,"rice paper is a thinner paper which is also used in the manufacture of chinese and japanese lanterns .","the result is monochromatic nude self - portraits produced with chinese ink on rice paper .","and we had to explain to her the difference between rice paper and ordinary paper ."
"peace conference","4.46","geneva has historically hosted numerous peace conferences and initiatives for disarmament .","this report stimulated widespread discussion among the governmental representatives attending the peace conference .","this was confirmed at the peace conference when the oil companies pressed their governments to renounce all wartime promises to the arabs ."
"swan song","0.83","debt of gratitude to paddy . his impending move to wales may make this his swan song , but many of us hope not . the following major event was the register","tirelessly for general pinochet ' s release in what was to prove a truly bizarre political swan song . political pressures from no 10 and chile began to tell and straw was forced","rome , which reached its apex in the early cinquecento , effectively offers up a swan song for the "" italian renaissance "" writ large : it is at once an expression"
"foot soldier","1.95","like jimmy greaves and gary lineker , owen is a lancer not a foot soldier .","obviously the ghost operative is somewhat better equipped than a mere foot soldier .","the role of the working class was not to be a foot soldier of the actions of a "" left - wing "" reforming government ."
"inner product",3,"we can form such a matrix from n vectors in any vector space having an inner product .","you can use the product global function to do matrix - matrix inner product multiplication .","in particular , note that operator * = does element - by - element multiplication , not inner product style matrix multiplication ."
"search engine","3.32","wins battle for the . no domain name one of the world ' s most popular search engines won the rights thursday to the norwegian domain "" google . no . "" it","exalead 17 , for example , is in many ways a far superior search engine to either google or msn search , but i ' m going to have to remember",". paid options and free educational no ad search options available . pay - per - search put a search engine on your page and get paid ( a few cents ) everytime someone uses it"
"iron collar","3.88","the executioner fastened the iron collar round his neck .","the remains of an iron ring to which a chain and iron collar would have been attached .","when iron collars will be rounded over their necks , and the chains , they shall be dragged along ."
"double Dutch","0.29","but i imagine that if you agree to do a role like that you must know the territory in some way , otherwise it would feel like double dutch .","if any of the terms used below sound like double dutch to you then visit our cyberspeak glossary where most terms will be explained .","it makes no sense to me at all ; it sounds like double dutch or latin or something ."
"cloud nine","0.33","her to do any more work that night was an impossibility ; she was on cloud nine ! ¬î remembers fenia . "" jill was not only a genuine and natural warm","sat in . ljayrod @ aol . com rs - ford ' s comments : looks good you must be on cloud nine ! ! ! looks really good on the grass where did you find the same shade as","with nature ladybirds ; they do n ' t make a meal of aphids uea team on cloud nine compost is not just a load of old rubbish storm forecasts have real value volcanoes"
"private eye","0.82","carmella is missing , but will private eye connor take the case ?","if you want dirt , the private eye suggested , you should steal the man ' s garbage .","the police are getting nowhere and private eye billie winkie has mysteriously vanished ."
"disc jockey","1.25","quality wedding disc jockey equipment comes at a cost .","keri enjoys music and has turned into a skilled disc jockey .","let one of our high energy disc jockeys entertain your next party ."
"pecking order","1.69",". i know you can say that birds are only too keen to demonstrate the pecking order and some may conveniently be described as bullies . but by and large everyone gets","does n ' t come to blows but you feel there ' s some sorting out of the pecking order going on . goldfinches and tits are the regulars at the bird feeders . a","each other and with a group within which there is little assertion of rank or pecking order among participants . brainstorming is the basis for other group decision - making techniques . appendix b"
"grass root","0.86","i have asked the arts council to develop strategies to recognise the importance of community , grass roots activity in developing the arts in wales .","if we define micro credit in literal sense of the term , it means a small amount sanctioned to poor at the grass root level irrespective of the geographical location","the welfare oriented transformation of the poor clients through micro finance calls for an appropriate tool for reflecting the reality of the life situation at grass root level ."
"goose egg","0.48","and he has a black goose egg on his forehead .","in this picture her normal goose egg is in the middle .","and i had like a goose egg out to here , and a fat lip ."
"black box","1.29","smart sensors are sold as black boxes despite the fact that their safety justification might require knowledge of their internal structure and development process .","my marriage had exploded in midair , and all i could do was search the rubble for some sign of a probable cause , some telltale black box .","if the black box flight recorder is never damaged during a plane crash , why is n ' t the whole aeroplane made out of the stuff ?"
"melting pot","0.54","ranging from irish folk to music from asia minor ; zuba - providing a global melting pot of world beat flavours , afro beat influences and traditional folk - based lyrical tales ; barrioviejo",", coptic and eastern traditions to create a sublimely unified artistic vision of the cultural melting pot of northumbria in the seventh and eighth centuries . the lindisfarne gospels , and others","heights affair ' s ' dancin ' ' . yet its heyday was down with the epochal melting pot of punk / funk / art / jazz / dub / disco , and pat"
"think tank","2.04",", design and environmental initiatives . the group is intended to act as a think tank ' and offer expertise to the development community and statutory regeneration agencies . general comments","includes sado - masochists , new agers , anthropologists , schizophrenics , anti - authoritarians , christian fundamentalists , think tank social engineers , fascists , proto - cubists . . . round up the unusual suspects .","establishment , and its numerous interconnections with the bush administration and with traditional liberal internationalist think tanks and foundations , such as the council on foreign relations . finally , i am"
"brick wall","3.79","of the merits of the case . the 3 month limit though is not a brick wall , if circumstances demand an extention of time , then it is in the discretion","1975 . a couple of years later another female who apparently vanished on reaching a brick wall , was observed near traitor ' s gate . top westminster abbey victoria street london sw","the landward side but sloping down steeply to a wooden door set in the high brick wall to seaward . "" 7 tower 28 is recognisable not only from the above description"
"dry wall","3.33","a dry wall will suck the moisture from a render mix in moments .","the sandstone makes good flat stones for dry wall building and paving .","heat loss through wet walls is up to 3 times higher than through a dry wall ."
"application form","4.8","in a christian preaching ministry in any denomination for at least two years . the application form for the mth course is available on the spurgeon ' s or as a download (","to apply click on the apply now ' link and fill in our online application form . we look forward to hearing from you . using ict in foundation stage teaching","capture / forms processing software . forms processing can enable documents such as surveys , application forms , invoices and questionnaires to be scanned and automatically processed to a database . the"
"winter solstice","4.55","this is done at winter solstice , at which time darkness is maximal , and no longer increasing .","the year began at christmas , which was anciently associated with the winter solstice .","festivals were held in honour of events that were important to people ' s daily lives ; eg , the change of seasons , harvest , and the summer and winter solstices ."
"bad apple","1.13","the problem for them , of course , is how to explain how these few bad apples managed to stay in place for so many years .","however it ' s the same old story : a few bad apples and we all get it in the neck !","however , it will not work unless every single person does it , because one bad apple ruins the whole barrel ."
"birth rate","4.6","the birth rate necessary for a nation to reproduce itself is 2 . 2 children per couple .","along with the fall in birth rate , the country experienced a soaring level of education .","the government still promotes and funds abortion and other measures designed to cut the birth rate ."
"crime rate","4.39","the crime rate in australia is low , however travellers should be aware that tourists could be targeted by petty criminals .","interestingly , there is a similar phenomenon in that the more police are employed , the higher the crime rate .","kingston has the 2nd lowest crime rate in greater london ."
"interest rate","4.57","7 times your salary works very well if coupled with rising property prices and low interest rates but think carefully about what may happen to your personal financial commitments should that trend","as well as having to pay pensions for longer , the current climate of low interest rates adds to the expense of purchasing an annuity . pension funds are having to set","average practice output : + sales revenue : + rate of return to training / interest rate same as above desired investment in physical capital same as above a function of :"
"football season","4.04","every week of the football season there is always a top class football match to watch .","the group is constructing a new 60 , 000 capacity stadium with a planned opening for the start of the 2006 / 2007 football season .","the 2002 - 2003 football season promises to be fascinating for football fans based in birmingham ."
"injury time","3.2","sam was replaced in injury time having just missed a try scoring opportunity .","the final play of the match came in injury time as rangers kept the ball in the falkirk half .","he mysteriously awarded the visitors a free kick , and then an undeserved corner , in injury time ."
"rainy season","4.23","thailand ' s monsoons arrive around july and last into november ( the ' rainy season ' ) .","the disease occurred in august and september , after the onset of the rainy season .","it is hot and humid in the summer with rainy season from july to september and dry season from november to april ."
"dirty word","2.48","in our society , profit is often a dirty word .","we spend our formative years being obsessed by the city and considering suburb as a dirty word .","we leave a legacy of dirty words to children who are growing up and are saying , "" what does that mean , mummy ? """
"word painting","1.62","words and music are closely matched , and the composer introduces word painting .","his psalm accompaniments often had a good measure of old - fashioned word painting .","to have the orchestral palette available for word painting the text is her idea of vocal heaven ."
"car park","4.2","delightful en - suite bedrooms , cosy dining room and conservatory lounge overlooking our gardens and private car park . non smoking . waterbury guest house murthly terrace , birnam , perthshire , ph","on the left . we are the building on the left as you enter the car park . directions from railway station turn right from station and then right again at mini","of duty on the part of wealden district council over many years that no such car park exists . "" looking at the group seated around the dinner table , it is"
"elbow room","0.61","under one - party - rule there was no elbow room for the democratisation of taiwan .","there is elbow room to address bold new topics and engage in new avenues of research .","that provides more elbow room for the financial hyperinflation that has taken over both in the us and abroad ."
"engine room","4.93","1916 , hms king edward vii was mined off cape wrath , and with both engine rooms flooded hms king edward vii capsized 12 hours later and sunk . kinsha name origin","shutdown . ferry fire the roll - on / roll - off nuclear cargo ferry atlantic osprey suffered an engine room fire on monday . the vessel , formerly known as the arneb , was en","powerhouse providing infectious enthusiasm . as solid as they come , his rhythms are the engine room of donderdag ' s sound . he has a wealth of experience and having collaborated with"
"lotus position","2.48","them as they go . they might tuck their legs under their groin in a lotus position , increasing their flexibility and movement of limbs and help them to release their stiffness","ni√°nn hold forth from a large cushion bedecked with flowers , sitting gurulike in the lotus position - - as well as a strong environmental ethic . threaded through all this is dissatisfaction","the floor so we decided that two older ladies trying to get up from the lotus position on the ground would more than likely demolish the teepee and thought we ' d give"
"web site","3.79","can simply update the firmware and modem drivers by downloading patches from the modem manufacturers web site . it may be best to contact the manufacturers of your modem in the first","up with the government position here ( mainly pro - badger killing ) , visit the defra web site , and use the search function to trace papers about badgers and tuberculosis . action","of galaxy formation and evolution and of the enrichment of the intergalactic medium . this web site is part of a research project by graham thurgood who is a senior lecturer ."
"lime tree","4.61","and the old lime tree perhaps inspired us to make a collection of limes .","they posted the letter , which begins ' dear the tree ' , on the lime tree ' s trunk .","and the lime tree , lovely and tall , every leaf silent hardly looses even a last breath of perfume ."
"arcade game","3.8","the monkey in the game is king kong and it is another version of the classic arcade game donkey kong .","in an ordinary arcade game the effect is created through a need to destroy aliens and make a high score .","pac - man - play the most popular arcade game of all time !"
"blame game","2.72",", and then returning home to play to their national audiences , with "" the blame game "" against eu institutions . "" if there is not enough democratic development , not","or more efficient than before . while the mayor and transport for london play the blame game , pointing at past governments and private contractors , londoners can look forward to a","basic as a parking spot is utterly unacceptable . mid - east crisis is beyond talking the blame game started in earnest this weekend after yet more carnage in the middle east . thousands"
"video game","4.6","containing webguides , bibliography and essays paperrad artist collective paper rad gobbles up tv , video games , and advertising imagery spewing it all back out into their exuberantly neo - primitivist cartoons ,","? - 7 m 56 s second featurette that looks at lara croft from the video game perspective . offer interviews with the games designers and discusses where lara goes from here","the year than several . of one percent hockey will be . data collection to video games online free poker texas hold and stance that you pa wilbon a . spare time quot"
"health insurance","4.4","health insurance policy packages may soon offer vouchers for gym membership , protein supplements","nearly percent of . paid per individual the multivariate analysis the employees participated in . the health insurance affected by prwora made by workers increase let me . different mid atlantic medical services","most financial planners suggest making a health insurance plan to be the starting point of all financial plans . even before one starts investing towards one’s goals , getting an adequate plan to cover for oneself and family helps"
"radio station","4.47","the times educational supplement ) and as a broadcaster for the bbc and various independent radio stations . he was the editor of books for keeps from 1989 till 1996 when it","substantially over the years and is known as one of the biggest and experienced student radio stations around . how it happened in 1968 , students at york university received ministry of","power efficiency figures , and have a similarly large effect on the distribution costs per radio station . the effect of transmission frequency - - which seems to be somewhat overlooked - - has"
"snail mail","1.31","solution however that is no excuse for not answering the telephone , not replying to snail mail , not replying to online support request submissions and not replying to emails to the","a credit card , keep checking the site , as we will be adding a snail mail order service . there will also soon be accompanying merchandise such as posters and postcards","viewed with internet explorer back to sa main site contact us : by email by snail mail : strange attractor po box 51339 london n 1 3 xy uk family sa arthur"
"big wig","0.6","to secure promotion you have to impress your employers , the suits on high , the big wigs , and the fat cats .","the popstar turned dj has been booked as a panellist on the bbc ' s question time , a slot more usually reserved for political big wigs and the like .","he was married three times , was a mason , a championship level clay pigeon shooter and a big wig in the local tory party ."
"face value","3.04","a total of 145 , 000 coins , and you ' ve got a tonne . on their face value , those coins are worth just ¬£ 2 , 900 . but taking them to a scrap","that is a part of this world - view . nothing comes from nothing . taken at face value this statement , whether or not it is seen as such , is a paradoxical","should be returned by the official receiver with the bonds . on redemption , the face value will be received , together with any unclaimed winnings . any winnings should be treated"
"academy award","3.52","lardner shared an academy award for best original screenplay with michael kanin in 1942 for woman of the year","academy award winner whoopi goldberg ( ghost ) stars as a sassy lounge singer forced to hide in a quiet convent .","bette davis , ernest hall and victor buono received academy award nominations , while norma koch took home an oscar for the costume design ."
"medical procedure","4.83","accidental exposures in radiotherapy continue to occur ; radiation injuries continue to be caused in interventional medical procedures .","dentistry , medical procedures and operations where conditions are unsterile are also routes of infection .","families affected by this most common neurological condition are likely to seek any alternative medical procedures to reduce this high number of episodes ."
"net income","2.94","the record company posted a net income of $ 178 million on sales .","net income dropped 40 percent to $ 153 . 4 million due to costs to expense stock options .","the corporation reported 40 % improvement in q3 net income ."
"silver bullet","0.67","improve data resource quality . many of these approaches are simply the current wave of silver bullets that will not substantially resolve data disparity or improve data resource quality . the only","like uncle festa , so the devil became peter cook , we all bite the silver bullet and go for one brief morbid look , at chainsaws , at ' scream '","international trade can be a powerful driver of economic growth and poverty reduction but it is not a silver bullet ."
"silver screen","2.38","the fourways built in the 1930 ' s a huge emporium to the delights of the silver screen ! after a few minutes moston lane bends to the right and ahead of us","star mike myers talk about the improved technology used to bring shrek 2 to the silver screen . they reveal how the characters and settings were developed including the look , hair","' s a bit of an insult really . actors have seen singers flop on the silver screen ( britney and mariah to name a couple ) and you would think that thoughts"
"smoke screen","1.11","escorting coastal craft and aircraft produced smoke screens to mask sweeping operations .","some of us think that a lot of it is a smoke screen for a much wider operation .","myths have become popularly known as smoke screens and are largely being peddled by the anti - gmo activists ."
"health care","4.47","his interests are effectiveness of public health interventions and the measurement of health care performance , including alternative medicines .","trade unions have a clear role in the management of health and safety for health care workers and patients","members of the community usually come to the hospital for a course then return to provide basic health care services ."
"top dog","1.05","he is a top dog in construction circles in hong kong .","you ' ll mix with other gangs and prove who the top dog is .","you ' re going to be top dog , number one , king of the jungle ."
"home run","2.86","ou can ' t hit a home run every time up at bat , but at least i want to show that i ' m trying my best .","the series showcased rookie willie mcgee hitting two home runs in game 3 , still tied as a record for rookies .","the star of olympic baseball has been orestes kindelan olivares who established a games record of nine home runs in nine games ."
"gravy train","0.31","complains , and gains , most from taxes and government - from the federal government gravy train might provide the right with just the kind of crash course in addition and subtraction","' ( man , 30 - 45 , london ) , ' it ' s a gravy train . they ' ve all doubled their wages ' ( man , 30 - 45 ,","represented themhaving signed away their birthright so that they can join theirfellow politicians on the gravy train . for the uk the betrayal of the national interest by thesurrender of over a"
"dream ticket","1.32","two years later wolstenholme was given his dream ticket when the bbc used its cameras for the world cup finals in england .","clarke and cameron are neck and neck , prompting pressure for them to combine in a ' dream ticket ' .","if i can get all this and it can also be organic , then that is my dream ticket ."
"bank account","4.73","you can pay with bank transfer directly into our bank accounts . we hold them in the cattle bank in nebraska , usa , and with branches of the hsbc","away holiday autos and put ¬£ 50 m , ¬£ 100 m , in my bank account i would be very , very upset . √¢ ¬ä ¬ù that√¢ ¬ä ¬ô s",". "" more and more malware is being written by criminals , designed to steal bank account information from innocent computer users , "" continued cluley . "" all internet users need"
"insane asylum","3.95","rather than come to terms with his alien origins he voluntarily enters an insane asylum .","her half - sister was an inmate of an insane asylum .","this often involved undercover work and feigned insanity to get into the insane asylum on blackwell ' s island ."
"critical review","4.06","the chapter concludes with a critical review of simulation games .","you may be asked in the course of your studies to write a critical review .","as assessment students provide a research report and a critical review of the research which are equally weighted ."
"gold mine","0.81","gardeners watching gordon taylor and guy cooper in action is like stumbling across a tv gold mine ! apart from their instant star appeal , this is a funny and charming duo","demand for locomotives in south africa , which was extremely high at the time with gold mines being sunk in the free state gold field and the discovery of the evander gold","to optimise the potential of our combined uk dealer network , which is a true gold mine . european distribution is now centralised in lausanne and there are now one national import"
"bull market","1.23","taking out the recent bull market , however , it did not even double in value in the 25 years to 1994 .","the three year bull market in equities has certainly boosted the fortunes of these companies by increasing the value of their assets .","the directors consider that uranium is in the early stages of a secular bull market ."
"flea market","1.52","commission on each listing and sale . some people view the site as an online flea market where supply and demand dictate prices . whatever you call it , ebay has built","yourself to find the item you took in the magic shop , perhaps at a flea market , in your grandmother ' s attic , or in an antique shop . acquire the","dizzyingly full of stuff - painted , papered , bejeweled or mosaiced - from fun flea market paintings and mismatched floral wallpapers to the neon - lit toy octopus funfair ride at the centre"
"food market","3.82","this would make farmers ' markets the fastest growing sector in the uk food market .","when small british farmers were forced out of the food market , they responded by coming to town .","as overseas demand is increasing we are helping local producers get a bigger share of the quality food market ."
