"compound","sentence1","sentence2","sentence3"
"roda gigante","São brinquedos , trens de ferro , carrosséis .","O mais novo brinquedo de Londres provou ser um sucesso imediato .","A London Eye entrou para o Guinness , como a maior brinquedo do mundo ."
"roleta russa","De rejeição as eleições em São Paulo viraram uma espécie de jogo de azar .","É um jogo de azar com todas as balas no revólver , feito pelos partidos .","São duas horas de risadas , choros , nervosismo e um jogo de azar de emoções e sentimentos ."
"saia justa","Que situação difícil , muito constrangida tive que recusar .","Agora , está em uma tremenda situação difícil para julgar os demais casos .","De essa vez , o presidente norte - americano foi alvo de diversas insatisfações e situações difíceis ."
"sala cirúrgica","Em essas instituições , leitos e salas de cirurgia estão subutilizados .","Os primeiros estudantes da faculdade de medicina estagiaram em seus ambulatórios e salas de cirurgia .","Serão 100 novos leitos , 10 salas de cirurgia , 10 CTIs e mais espaço para hemodiálise eletiva ."
"salão paroquial","Os salões da igreja são importantes centros de decisão informal .","Lá íamos nós para os salões da igreja , as igrejas , os clubes .","Este prédio , que é o salão da igreja foi idealizado pelo padre Edir , já falecido ."
"sangue azul","Pelo menos no marketing , Sir Richard Branson tem nobreza : ele é o rei do marketing .","Ainda mais curioso , Washington não fora o único presidente americano a ter nobreza .","É o espírito nobre das pessoas , a chamada "" nobreza "" , o poder de liderança ."
"sangue frio","Assassinado em estilo de execução sem piedade .","O assassinato de 11 deputados colombianos sem piedade !","Carminha não mataria sem piedade o homem que amava ."
"sangue quente","Sim , ele tem a raiva espanhola !","A hispânia é um local cheio de pessoas de raiva e turistas .","Não , tem de reclamar agora , com o irritado mesmo , isso é um absurdo !"
"secretária eletrônica","Não há emails na caixa de entrada , não há recados na resposta automática e mesmo assim , você entende a mensagem .","Finja ser uma resposta automática , do pior jeito que você conseguir para ele perceber que está falando com um louco .","Ser breve , não abusar das ligações pessoais e responder às mensagens na resposta automática no prazo máximo de 24 horas"
"segundas intenções","Não tem malícia e muito menos malícia .","Ele manda uma cartinha meio sacana , cheia de malícia .","Padre com má - fé e com malícia é duro de engolir ."
"segundo plano","Para Júlio , tudo o mais estava em não prioritário .","A obediência está sendo relegada a não prioritária .","Os aspectos táticos e técnicos ficaram em não prioritário ."
"sentença judicial","Em 2004 saiu uma decisão judicial favorável aos moradores .","A indenização deverá ser determinada por decisão judicial .","O valor inclui vencimentos , encargos sociais e pagamentos de decisões judiciais ."
"sétima arte","Devo sem dúvida a essa precocidade cinéfila minha paixão pelo cinema .","Como já disseram , o filme não é o supra sumo do cinema .","Esta cena é reverenciada hoje como um dos grandes momentos do cinema ."
"sexto sentido","Foi um dia pesaroso , uma intuição me alertava que uma coisa ruim puxa outra .","A intuição é a percepção do outro energicamente .","E através da intuição , desenvolvendo a intuição e a plenitude do amor e da compaixão ."
"sinal verde","Agora , basta a aprovação da prefeitura em questão .","Rony deu aprovação para o combate .","Em seguida , a justiça francesa dá aprovação para a extradição ."
"sistema político","E uma política corrupta e clientelista .","É de todos os partidos da política brasileiro .","O franquismo foi uma forma de governo repressivo e autoritário ."
"tapete vermelho","Claro que eles arrasaram no Oscar .","Além disso , Daniel Cardoso fará as entrevistas direto do Oscar .","O canal TNT também está transmitindo direto do Oscar ."
"tartaruga-marinha","Conhecer as características principais da tartaruga do mar e da baleia jubarte .","Continuação da aventura da tartaruga do mar Sammy , que é capturada por humanos e levada para um aquário submarino .","Os ambientalistas optaram por realizar passeatas multicoloridas , vestidos de tartaruga do mar ."
"tela plana","Há moradores de favela com três televisores de tela reta .","Novos monitores de tela reta foram usados , usando menos espaço e deixando a ponte com um visual mais limpo .","Hoje ela tem tv de tela reta , dvd e máquina de lavar roupas ."
"tempo real","Acompanhe as projeções ao vivo .","É um monitoramento ao vivo .","Colaboração ao vivo com outros utilizadores ;"
"terceira idade","Criaram - se creches e centros de velhice .","Empresa fabrica produtos ortopédicos para a velhice .","Vi até uma senhora na velhice de triciclo ."
"terceira pessoa","O Guimarães Rosa se tratava de narrador externo .","E você pode alternar entre primeira e narrador externo .","Um exemplo de história em narrador externo é o Grande Gatsby de F . Scott Fitzgerald ."
"tiro livre","A infração resulta em falta indireta para o adversário .","Todas as faltas são diretas e sem barreira da equipe adversária .","Renan cobrou a falta na trave e desperdiçou ótima oportunidade de marcar ."
"trabalho braçal","Entre uma idéia e sua realização existe o trabalho manual .","Avessos a trabalho manual , os americanos deixam o serviço perigoso para imigrantes .","Os que fazem trabalho manual ao ar livre , talvez não necessitem de mais exercícios ."
"trabalho escravo","As fundações foram , igualmente , construídas por trabalho forçado .","A expropriação de propriedades onde for encontrado trabalho forçado .","Utilizam - se muito deles para promover trabalho forçado ."
"vaca louca","Depois surgiram a doença da encefalopatia espongiforme e a gripe do frango .","E pela ingestão de carne contaminada pela doença da encefalopatia espongiforme .","A doença da encefalopatia espongiforme apareceu quando o gado foi obrigado a se canibalizar ."
"vinho branco","Pra beber , vinho .","Prosecco nada mais é que tipo de vinho espumante .","Ponha meio copo de vinho seco e deixe evaporar ."
"vinho tinto","Combina perfeitamente com vinho vermelho Pinot Noir .","Frutas vermelhas marinadas no vinho vermelho .","Se você comprou um queijo menos maduro , escolha um vinho vermelho encorpado ."
"vista grossa","O governo ignorou e deixou a coisa rolar .","Aqueles que criticam Malafaia ignoram outros graves pecados .","Não ignore para crimes , por menores que sejam ."
"viva voz","Esses convidados nem sempre podem participar em voz alta ;","Hoje é a última vez que eu vou falar com você em voz alta .","Desafio qualquer pessoa a dizer que eu recomendei voto no Serra , que recomendei por escrito ou de voz alta o voto no Serra ."
"vôo doméstico","O aeroporto internacional oferece vôos nacionais , europeus e transatlânticos .","O site tem uma lista de todos os vôos nacionais e internacionais , duração e preços .","Os vôos nacionais são normalmente de Sydney , Melbourne , Brisbane , Adelaide e Perth ."
"vôo internacional","A agência nacional de vigilância sanitária tem como localizar quem viajou com os doentes , pois vinha recolhendo as guias de declaração de bagagens em viagens internacionais .","A Pan - Am , outra gigante , só operava viagens internacionais .","Esse destino se acrescenta a malha de viagens internacionais da TAM ."
"voto secreto","As eleições são realizadas por voto oculto .","A aliança pregava a justiça trabalhista , o voto oculto e o voto feminino .","O voto oculto era de absoluta necessidade , assim como o voto feminino ."
