"compound","sent1_modifier","sent1_head","sent2_modifier","sent2_head","sent3_modifier","sent3_head"
"banana republic","the result is our roads are more congested than ever before ; so congested , indeed , that we seem less like the world ' s fourth - largest economy and more like the most inept banana .","the result is our roads are more congested than ever before ; so congested , indeed , that we seem less like the world ' s fourth - largest economy and more like the most inept republic .","as britain grinds to a halt amidst rail chaos , fuel shortages and floods , the head of the cbi brands britain as being "" like a banana "" !","as britain grinds to a halt amidst rail chaos , fuel shortages and floods , the head of the cbi brands britain as being "" like a republic "" !","my point is in the past historians referred to the central american countries as banana , implying these are countries , nations with governments without any dignity .","my point is in the past historians referred to the central american countries as republics , implying these are countries , nations with governments without any dignity ."
"hen party","you can spot the stag and hen easily because they always dress in stupid outfits or matching t - shirts with their names printed on .","you can spot the stag and parties easily because they always dress in stupid outfits or matching t - shirts with their names printed on .","torquay offers excellent nightlife , and is extremely popular as a stag weekend break , and hen !","torquay offers excellent nightlife , and is extremely popular as a stag weekend break , and parties !","we supply the lighting , sound , music , posters and tickets and some of the best hen performers on the cabaret scene in the uk and europe .","we supply the lighting , sound , music , posters and tickets and some of the best party performers on the cabaret scene in the uk and europe ."
"news agency","the news was culled initially from a news teleprinter on the ship .","the news was culled initially from a agency teleprinter on the ship .","which news was responsible for this piece of speculative journalism ?","which agency was responsible for this piece of speculative journalism ?","the news which filmed this event was threatened until it agreed to withdraw the footage from circulation .","the agency which filmed this event was threatened until it agreed to withdraw the footage from circulation ."
"rat race",". some people have felt the light commanding them to opt out of the rat ' perhaps to abandon a status - driven career path in favour of work that embodies",". some people have felt the light commanding them to opt out of the race ' perhaps to abandon a status - driven career path in favour of work that embodies","in the bank you can then decide whether you need to get back into the rat that put you in hospital in the first place . this cover goes hand in","in the bank you can then decide whether you need to get back into the race that put you in hospital in the first place . this cover goes hand in","could be short - term retreats for those members of the serious classes who may find the rat - or even the mouse race - to be a bit too much for the","could be short - term retreats for those members of the serious classes who may find the race - or even the mouse race - to be a bit too much for the"
"radioactive material","we are exhausting fossil fuels and using dangerous radioactive to produce energy and run cars .","we are exhausting fossil fuels and using dangerous materials to produce energy and run cars .","but we use radioactive in medicine to treat cancers .","but we use materials in medicine to treat cancers .","doctors fear that hundreds could have been contaminated and may have ingested radioactive .","doctors fear that hundreds could have been contaminated and may have ingested material ."
"love song","the romance in moulin rouge breathes thanks to the love that his protagonists sing .","the romance in moulin rouge breathes thanks to the songs that his protagonists sing .","give someone the ultimate romantic anniversary or valentine gift - their very own , original love , written about them .","give someone the ultimate romantic anniversary or valentine gift - their very own , original song , written about them .","i know but this is a love you could really dance to .","i know but this is a song you could really dance to ."
"dead end","the house is located on a dead street .","the house is located on a end street .","we continued up the dead road towards ardtalla .","we continued up the end road towards ardtalla .","corridors led to dead and doors which were locked .","corridors led to ends and doors which were locked ."
"world conference","the final report is available , and will be summarised in a paper at the 10th world on transport research .","the final report is available , and will be summarised in a paper at the 10th conference on transport research .","eddie participated in several world and was elected with the highest number of votes .","eddie participated in several conferences and was elected with the highest number of votes .","the un also held a world on human rights in vienna .","the un also held a conference on human rights in vienna ."
"insurance policy","your insurance requires you to take care of your property at all times .","your policy requires you to take care of your property at all times .","the person may also have had an insurance which will cover funeral costs .","the person may also have had an policy which will cover funeral costs .","the university has a travel insurance which can be purchased by students .","the university has a travel policy which can be purchased by students ."
"cooking stove","the shepherd could be assured of a hot meal from the cast - iron cooking inside .","the shepherd could be assured of a hot meal from the cast - iron stove inside .","they will be informed about avoiding the situation by using an environment friendly cooking .","they will be informed about avoiding the situation by using an environment friendly stove .","the kitchen / dining room is open - plan and has a cooking , microwave and fridge .","the kitchen / dining room is open - plan and has a stove , microwave and fridge ."
"cocktail dress","ladies ) . formal evenings require a suit or dinner jacket for men and a cocktail for ladies . the rating for children is very good . facilities for children are","ladies ) . formal evenings require a suit or dinner jacket for men and a dress for ladies . the rating for children is very good . facilities for children are","to find a vest - top . no matter that said vest - top is 200 , or a cocktail almost 1 , 000 - women still ca n ' t get enough of those colourful prints . at","to find a vest - top . no matter that said vest - top is 200 , or a dress almost 1 , 000 - women still ca n ' t get enough of those colourful prints . at","at the museum , such as a home guard uniform and even a 1940 s cocktail owned by the mayor of oxford ' s wife . there are also civil defence plans","at the museum , such as a home guard uniform and even a 1940 s dress owned by the mayor of oxford ' s wife . there are also civil defence plans"
"disability insurance","if you have any other unemployment or disability to cover your mortgage payment , we will reduce your monthly benefit .","if you have any other unemployment or insurance to cover your mortgage payment , we will reduce your monthly benefit .","obtain disability quotes from the major insurance companies .","obtain insurance quotes from the major insurance companies .","life and disability tend to have much longer terms , and may even , in the case of whole - of - life cover , have no renewal date .","life and insurances tend to have much longer terms , and may even , in the case of whole - of - life cover , have no renewal date ."
"social insurance","social and national assistance organised by the state are designed to guarantee , on condition of service , a basic income for subsistence .","insurance and national assistance organised by the state are designed to guarantee , on condition of service , a basic income for subsistence .","the ministry is responsible for health , social welfare , environmental health , safety at work , social , insurance , family , and gender equality .","the ministry is responsible for health , social welfare , environmental health , safety at work , insurance , insurance , family , and gender equality .","there is strong support ( especially among the well off ) for a social system based on the principle of solidarity and accountability .","there is strong support ( especially among the well off ) for a insurance system based on the principle of solidarity and accountability ."
"con artist","by all accounts he was charming and plausible : a true con .","by all accounts he was charming and plausible : a true artist .","this man is not a firefighter but a manipulative con who is able to adapt to his surroundings .","this man is not a firefighter but a manipulative artist who is able to adapt to his surroundings .","a self - confessed thief , forger , and con , he used a roster of assumed names and false identities .","a self - confessed thief , forger , and artist , he used a roster of assumed names and false identities ."
"heavy cross","having to pay back university top - up fees is a heavy to carry , especially for those graduates from less well - off homes .","having to pay back university top - up fees is a cross to carry , especially for those graduates from less well - off homes .","in this fallen world we may have a very heavy to carry .","in this fallen world we may have a very cross to carry .","her presentation gave the impression of being yet another masterclass on gold - plating regulations , and so creating more jobs for bureaucrats and a heavy for farmers to bear .","her presentation gave the impression of being yet another masterclass on gold - plating regulations , and so creating more jobs for bureaucrats and a cross for farmers to bear ."
"brain drain","this brain exacerbates the situation for those staying behind , as it leads to a loss of skills which are then not to be passed on to the next generation .","this drain exacerbates the situation for those staying behind , as it leads to a loss of skills which are then not to be passed on to the next generation .","a flow of scientists in both directions between the us and europe would make the perceived "" brain "" of researchers to the former much less of a problem .","a flow of scientists in both directions between the us and europe would make the perceived "" drain "" of researchers to the former much less of a problem .","we are suffering a chronic "" brain "" as qualified people leave for greener pastures abroad .","we are suffering a chronic "" drain "" as qualified people leave for greener pastures abroad ."
"end user","appropriate ro systems , there are far fewer with the resources and expertise to help end maximise the return on their investment once the installation and commissioning engineersâ   work","appropriate ro systems , there are far fewer with the resources and expertise to help users maximise the return on their investment once the installation and commissioning engineersâ   work","the billing mechanism and price is different . would n ' t it be better for the end if the telephone call went with the internet traffic with the attendant price saving ?","the billing mechanism and price is different . would n ' t it be better for the user if the telephone call went with the internet traffic with the attendant price saving ?",". please note : retail products and trade products are specially produced for two different end . retail products may be unsuitable for some professional applications and likewise , some professional",". please note : retail products and trade products are specially produced for two different users . retail products may be unsuitable for some professional applications and likewise , some professional"
"silver spoon","a wee dig at little rich gurls   josephine snorts her coke from a silver and wonders where here life is going to ?   . . these lyrics say","a wee dig at little rich gurls   josephine snorts her coke from a spoon and wonders where here life is going to ?   . . these lyrics say",". the teapot was very large and almost square in shape , and the fiddle - pattern silver shone brilliantly . the table looked well , and though jenifer still mourned the absence",". the teapot was very large and almost square in shape , and the fiddle - pattern spoons shone brilliantly . the table looked well , and though jenifer still mourned the absence","that was made by susan matthews , chairman of the stewards ' committee . a silver with an exeter hallmark was given on the day as the main part of the","that was made by susan matthews , chairman of the stewards ' committee . a spoon with an exeter hallmark was given on the day as the main part of the"
"dust storm","kabul is now hot and dusty with frequent dust .","kabul is now hot and dusty with frequent storms .","kabul is now hot and dusty with frequent dust .","kabul is now hot and dusty with frequent storms .","the hills on either side of the road were barely visible because of a dust .","the hills on either side of the road were barely visible because of a storm ."
"sugar daddy","it is only polite that she doesn ' t start treating me like some sort of sugar .","it is only polite that she doesn ' t start treating me like some sort of daddy .","this kind of luxury doesn ' t come cheap , but if ever there was a reason to go trawling for a city sugar , this place is it .","this kind of luxury doesn ' t come cheap , but if ever there was a reason to go trawling for a city daddy , this place is it .","not only am i going to marry ewan mcgregor and javier bardem , but eastwood would make a wonderful sugar .","not only am i going to marry ewan mcgregor and javier bardem , but eastwood would make a wonderful daddy ."
"stag night","although it is traditionally the best man ' s responsibility to organise the stag it is ultimately the groom ' s decision as to where he wants to spend it and whom he wants to invite .","although it is traditionally the best man ' s responsibility to organise the night it is ultimately the groom ' s decision as to where he wants to spend it and whom he wants to invite .","we have been organising stag , parties and weekends for a long time now but we ' ll never grow bored of it !","we have been organising nights , parties and weekends for a long time now but we ' ll never grow bored of it !","one of your roles is to help the best man prepare the stag .","one of your roles is to help the best man prepare the night ."
"information age","computers are playing an ever increasing role in the delivery of education and training , and are indeed the nexus of the information .","computers are playing an ever increasing role in the delivery of education and training , and are indeed the nexus of the age .","how to operate in a world characterized by information technology , rapid change , deepening global linkages , and the continuous unbundling of value chains .","how to operate in a world characterized by age technology , rapid change , deepening global linkages , and the continuous unbundling of value chains .","i said that the new information economy would need not less but more competition .","i said that the new age economy would need not less but more competition ."
"wedding day","the engagement period is a busy and exciting time where the betrothed couple plan their wedding and prepare for married life .","the engagement period is a busy and exciting time where the betrothed couple plan their day and prepare for married life .","all of the flowers on our cakes are handmade using sugarcraft techniques and can be kept as lasting mementos of your wedding .","all of the flowers on our cakes are handmade using sugarcraft techniques and can be kept as lasting mementos of your day .","each item is individually designed and handcrafted to complement the style of your dress and theme of your wedding .","each item is individually designed and handcrafted to complement the style of your dress and theme of your day ."
"ground floor","eight , even the divers did n ' t get to see these floors . on the ground we were shown into one of the escape chambers , inside there was a red","eight , even the divers did n ' t get to see these floors . on the floor we were shown into one of the escape chambers , inside there was a red","our new flagship , setting the trends for university catering services is situated on the ground of the new building : food hall offers exciting , innovative dishes from around the","our new flagship , setting the trends for university catering services is situated on the floor of the new building : food hall offers exciting , innovative dishes from around the","pillows and bed linen provided . cot available . bathrooms two : one on the ground and the other on the top floor . both have bath with electric shower over","pillows and bed linen provided . cot available . bathrooms two : one on the floor and the other on the top floor . both have bath with electric shower over"
"prison guard","this man , a dangerous psychopath , kills a prison and escapes .","this man , a dangerous psychopath , kills a guard and escapes .","the partially - deaf defendant stood in the dock wearing a blue shirt and was flanked by a single prison .","the partially - deaf defendant stood in the dock wearing a blue shirt and was flanked by a single guard .","anibalzinho claims that prison manuel macuacua was waiting for him and accompanied him as he crossed the prison .","anibalzinho claims that guard manuel macuacua was waiting for him and accompanied him as he crossed the prison ."
"baby blues","while as many as 80 % of mothers experience a temporary and mild condition referred to as the baby , up to 15 % of women have the more severe reaction you ' re experiencing .","while as many as 80 % of mothers experience a temporary and mild condition referred to as the blues , up to 15 % of women have the more severe reaction you ' re experiencing .","this condition is different form the few days of weepiness called the baby .","this condition is different form the few days of weepiness called the blues .","baby is based on a true story , exposing the problems created by puerperal psychosis ; deep clinical depression that sometimes follows childbirth .","blues is based on a true story , exposing the problems created by puerperal psychosis ; deep clinical depression that sometimes follows childbirth ."
"peace talk","the role of china is to promote the peace process through good offices .","the role of china is to promote the talk process through good offices .","the cease fire comes ahead of proposed peace in the region between the two groups .","the cease fire comes ahead of proposed talks in the region between the two groups .","the peace were secret but he succeeded in getting some information from friendly delegates .","the talks were secret but he succeeded in getting some information from friendly delegates ."
"beauty sleep","he obviously felt deprived of his beauty , and had bags under his eyes .","he obviously felt deprived of his sleep , and had bags under his eyes .","get into the habit or regularly exfoliating your skin and drinking lots of water and making sure you get your beauty .","get into the habit or regularly exfoliating your skin and drinking lots of water and making sure you get your sleep .","dudley awoke from his beauty with a ferocious appetite .","dudley awoke from his sleep with a ferocious appetite ."
"fresh water","backford brook is one of the few fresh streams in the area .","backford brook is one of the few water streams in the area .","finally , increased fresh from melting glaciers and sea ice could alter ocean circulation patterns and destabilize regional climate patterns .","finally , increased water from melting glaciers and sea ice could alter ocean circulation patterns and destabilize regional climate patterns .","always make sure to provide plenty of fresh for your kitty , and it does n ' t hurt to add water to wet food that your cat may be used to eating .","always make sure to provide plenty of water for your kitty , and it does n ' t hurt to add water to wet food that your cat may be used to eating ."
"sparkling water","i make fizzy drinks by mixing juice with sparkling .","i make fizzy drinks by mixing juice with water .","pour this into two tall glasses and top with sparkling .","pour this into two tall glasses and top with water .","add some slices of lemon to your iced tea or sparkling .","add some slices of lemon to your iced tea or water ."
"hard shoulder","be aware that other vehicles may be stationary on the hard .","be aware that other vehicles may be stationary on the shoulder .","hard can be converted for use by traffic in only two years , compared with up to ten years to plan and construct additional lanes .","shoulders can be converted for use by traffic in only two years , compared with up to ten years to plan and construct additional lanes .","we think hard are essential for the safety of motorists who have broken down and to allow emergency services to get to the scene of accidents quickly .","we think shoulders are essential for the safety of motorists who have broken down and to allow emergency services to get to the scene of accidents quickly ."
"brain teaser","for all its seeming simplicity , the game is a real brain .","for all its seeming simplicity , the game is a real teaser .","you may occasionally enjoy a good spirited debate or a ' brain ' .","you may occasionally enjoy a good spirited debate or a ' teaser ' .","sudoku is a game of pure logic , an addictive brain .","sudoku is a game of pure logic , an addictive teaser ."
"role model","- studying and observing individuals whose personal success in their field qualifies them as exceptional role . no wonder they call it the study of excellence - the art of change","- studying and observing individuals whose personal success in their field qualifies them as exceptional models . no wonder they call it the study of excellence - the art of change","for such an honour than john charles , ' said councillor bailey . ' great role ' ' it is , therefore , only fitting that our farewell to the gentle","for such an honour than john charles , ' said councillor bailey . ' great model ' ' it is , therefore , only fitting that our farewell to the gentle","encourages black , asians and orientals into underrepresented occupational fields and also identify much needed role . 4 . the diversity lecture in the house of commons ( february ) which","encourages black , asians and orientals into underrepresented occupational fields and also identify much needed models . 4 . the diversity lecture in the house of commons ( february ) which"
"sex bomb","i had almost forgotten dressing as a sex at the holiday camp .","i had almost forgotten dressing as a bomb at the holiday camp .","ferrara and holmes double - team canadian sex bella marie wolf .","ferrara and holmes double - team canadian bomb bella marie wolf .","salma hayek , however , has taken a major diversion from her established big screen mexican sex persona .","salma hayek , however , has taken a major diversion from her established big screen mexican bomb persona ."
"fairy tale","her dresses are those you would find in fairy .","her dresses are those you would find in tales .","i loved my father ' s old fairy books .","i loved my father ' s old tale books .","in fairy we can experience those lives and adventures .","in tales we can experience those lives and adventures ."
"silver lining","ah well , the silver is that her actions will be under much greater scruitiny than before .","ah well , the lining is that her actions will be under much greater scruitiny than before .","but is the practice totally bad news for the local pharma companies or is there a silver ?","but is the practice totally bad news for the local pharma companies or is there a lining ?","pursel tried to find a silver in his experiment gone wrong by claiming that the pig was leaner .","pursel tried to find a lining in his experiment gone wrong by claiming that the pig was leaner ."
"bad hat","one month later still another bad came along to further harass him","one month later still another hat came along to further harass him","the jury heard the evidence presented , that he was general bad .","the jury heard the evidence presented , that he was general hat .","however , whitehall thinks that i am a thoroughly bad and will not talk to me .","however , whitehall thinks that i am a thoroughly hat and will not talk to me ."
"old hat","i think perhaps that zap - it - up games are becoming a little bit old .","i think perhaps that zap - it - up games are becoming a little bit hat .","the trouble is that our citizens take all that for granted - it ' s all old .","the trouble is that our citizens take all that for granted - it ' s all hat .","this may be old in most of the world , but in iraq it ' s virtually a revolution .","this may be hat in most of the world , but in iraq it ' s virtually a revolution ."
"music festival","he has performed in all the great music in europe .","he has performed in all the great festivals in europe .","concerts and music are hosted at singleton park , morfa stadium and margam country park .","concerts and festivals are hosted at singleton park , morfa stadium and margam country park .","during the eight day music , iccm will employ musicians to perform at pitches around the city to create the festival feel .","during the eight day festival , iccm will employ musicians to perform at pitches around the city to create the festival feel ."
"old flame","he runs into his old , now reunited with her husband .","he runs into his flame , now reunited with her husband .","she is an old of steve ' s , so he invites her to lunch .","she is an flame of steve ' s , so he invites her to lunch .","a woman suspects her husband has rekindled an affair with an old .","a woman suspects her husband has rekindled an affair with an flame ."
"damp squib","it was probably just a bit too much for everyone in the end and it finished in a damp , but we always said we were building for next season .","it was probably just a bit too much for everyone in the end and it finished in a squib , but we always said we were building for next season .","the important thing is to manage it well , ensure the season does n ' t fizzle out into a damp as it did after our cup run two years ago .","the important thing is to manage it well , ensure the season does n ' t fizzle out into a squib as it did after our cup run two years ago .","during this time the political environment has provided both damp and powerful rockets .","during this time the political environment has provided both squibs and powerful rockets ."
"loan shark","a loan is someone who lends money at a high weekly interest rate .","a shark is someone who lends money at a high weekly interest rate .","bin bin fails the test for the army and borrows money from a loan .","bin bin fails the test for the army and borrows money from a shark .","one problem is that the illegal loan will not be covered by consumer credit laws .","one problem is that the illegal shark will not be covered by consumer credit laws ."
"narrow escape","i had a narrow by not being in the cinema at that time .","i had a escape by not being in the cinema at that time .","bolton made a narrow by sheltering himself in a corner .","bolton made a escape by sheltering himself in a corner .","he had a narrow when his mates and commanding officer were killed .","he had a escape when his mates and commanding officer were killed ."
"noble gas","the interaction of helium atoms is weak since it is a noble .","the interaction of helium atoms is weak since it is a gas .","a noble configuration is reached if these are lost to form positively charged ions ( cations ) .","a gas configuration is reached if these are lost to form positively charged ions ( cations ) .","other elements in the periodic table react with other elements to gain the ' more stable ' noble configuration .","other elements in the periodic table react with other elements to gain the ' more stable ' gas configuration ."
"nest egg","allowing younger workers to save some of their taxes in a personal accountÍ - - a nest you can call your own , and government can never take away . in all","allowing younger workers to save some of their taxes in a personal accountÍ - - a egg you can call your own , and government can never take away . in all","would be better off with no insurance and using the money saved to build a nest to see them through lean times or pay off their debt . for many customers","would be better off with no insurance and using the money saved to build a egg to see them through lean times or pay off their debt . for many customers","700 million savings scheme being piloted by the government to help people build up a nest . under the  saving gateway  project , families with an income of less","700 million savings scheme being piloted by the government to help people build up a egg . under the  saving gateway  project , families with an income of less"
"spinning jenny","scotch cotton mill . again in 1792 william kelly of new lanark introduced the mechanically - moved spinning . in 1793 james louis robertson introduced the power loom . in 1795 archibald buchanan","scotch cotton mill . again in 1792 william kelly of new lanark introduced the mechanically - moved jenny . in 1793 james louis robertson introduced the power loom . in 1795 archibald buchanan","the flying shuttle to weaving . its eventual use far outstripped that of the cruder spinning and the more limited water frame . late night ball practice : : 2 years ,","the flying shuttle to weaving . its eventual use far outstripped that of the cruder jenny and the more limited water frame . late night ball practice : : 2 years ,","not to mav > spiral jennie a spiral jennie , nicer than the history lesson spinning , would it have worked has well though mav > for the body to be","not to mav > spiral jennie a spiral jennie , nicer than the history lesson jenny , would it have worked has well though mav > for the body to be"
"fair play","but attitudes of kindness , fair , loyalty , honesty , etc could not by definition be principles , and were simply sentimental notions .","but attitudes of kindness , play , loyalty , honesty , etc could not by definition be principles , and were simply sentimental notions .","fair incorporates the concepts of friendship , respect for others and always playing in the right spirit .","play incorporates the concepts of friendship , respect for others and always playing in the right spirit .","but free trade , as practised within nations , has many restraints on it to ensure justice and fair .","but free trade , as practised within nations , has many restraints on it to ensure justice and play ."
"polo shirt","we went to guernsey last september we were all decked out in a specific tour polo . we looked the best team there and everyone knew who we were ( this","we went to guernsey last september we were all decked out in a specific tour shirt . we looked the best team there and everyone knew who we were ( this","if we use your review we will send you one of our hook norton brewery polo , so remember , tell us your size ! . payment is via paypal .","if we use your review we will send you one of our hook norton brewery shirts , so remember , tell us your size ! . payment is via paypal .","they need to get in touch with sca - this year they will be white polo , with the sca hand on the back and your name and position on the","they need to get in touch with sca - this year they will be white shirts , with the sca hand on the back and your name and position on the"
"contact lens","yes there are various options available to you to correct your astigmatism with contact .","yes there are various options available to you to correct your astigmatism with lenses .","contact are preferrable to glasses to aid looking through the eyepiece , if applicable .","lenses are preferrable to glasses to aid looking through the eyepiece , if applicable .","in recent years most of the pathophysiology of dry eye and the pathogenesis of corneal infections are associated with contact wear .","in recent years most of the pathophysiology of dry eye and the pathogenesis of corneal infections are associated with lens wear ."
"big cheese","we talk to the ( normally reclusive ) big about his journey from stall owner to taking on the big guns at hmv .","we talk to the ( normally reclusive ) cheese about his journey from stall owner to taking on the big guns at hmv .","after a ridiculous wait while police were deployed and the plebs pushed back , out popped uefa big lennart johannson .","after a ridiculous wait while police were deployed and the plebs pushed back , out popped uefa cheese lennart johannson .","i ' ve just spent a week trawling round silicon valley , talking to a mix of developers , entrepreneurs , venture capitalists , industry observers and big from well established companies .","i ' ve just spent a week trawling round silicon valley , talking to a mix of developers , entrepreneurs , venture capitalists , industry observers and cheeses from well established companies ."
"dry land","a lack of scavengers ' marks on the bones suggests they had not previously been exposed on dry .","a lack of scavengers ' marks on the bones suggests they had not previously been exposed on land .","animal , plant and insect remains are also better preserved in the waterlogged conditions than on dry .","animal , plant and insect remains are also better preserved in the waterlogged conditions than on land .","hydrotherapy water provides a wonderful medium for exercise , offering exciting opportunities for movement not available on dry .","hydrotherapy water provides a wonderful medium for exercise , offering exciting opportunities for movement not available on land ."
"best man","all stories aside neil is a great mate and it made me extremely proud to be asked to be his best","all stories aside neil is a great mate and it made me extremely proud to be asked to be his man","at this unique event the promoter and his bride were married live onstage with grooverider as best .","at this unique event the promoter and his bride were married live onstage with grooverider as man .","a best speech should be like a mini skirt , short enough to be interesting , but long enough to cover the essentials","a man speech should be like a mini skirt , short enough to be interesting , but long enough to cover the essentials"
"entrance hall","the large entrance is light and airy with open galleried landings above .","the large hall is light and airy with open galleried landings above .","the entrance , stair and assembly hall of the union seem to be retained .","the hall , stair and assembly hall of the union seem to be retained .","a public telephone is available in the main entrance of the manor house .","a public telephone is available in the main hall of the manor house ."
"white spirit","then wash again using white and steel wool .","then wash again using spirit and steel wool .","this is very hard wearing but gives off a strong odour and brushes can only be washed in white .","this is very hard wearing but gives off a strong odour and brushes can only be washed in spirit .","the varnish layer was removed with mixtures of acetone and acetone in white .","the varnish layer was removed with mixtures of acetone and acetone in spirit ."
"blue blood","the cloister attracted vacationing blue , drawn by its old world ambience - the coolidges , the eisenhowers and carters would come to play bingo in the lounge and dance the cha - cha in the ballroom .","the cloister attracted vacationing bloods , drawn by its old world ambience - the coolidges , the eisenhowers and carters would come to play bingo in the lounge and dance the cha - cha in the ballroom .","in fact she had seriously blue flowing in her veins and had important dynastic links with the royal family itself .","in fact she had seriously blood flowing in her veins and had important dynastic links with the royal family itself .","european blue , in particular britain ' s royal family who were related to the russian imperial house , did all they could to aid their overthrow .","european bloods , in particular britain ' s royal family who were related to the russian imperial house , did all they could to aid their overthrow ."
"double whammy","cpre points out that the countryside is facing a double with traffic levels rising faster on rural than urban roads , while the reduction in road accidents is slower { 3 } .","cpre points out that the countryside is facing a whammy with traffic levels rising faster on rural than urban roads , while the reduction in road accidents is slower { 3 } .","iraqi civilians face a murderous double : they are victims of state terrorism conducted by the us and britain as well as home - grown acts of violence .","iraqi civilians face a murderous whammy : they are victims of state terrorism conducted by the us and britain as well as home - grown acts of violence .","the double here is that the nurse ' s investigation takes place in a drama therapy session taken by a patient who was once an acclaimed actress .","the whammy here is that the nurse ' s investigation takes place in a drama therapy session taken by a patient who was once an acclaimed actress ."
"night owl","constant battle for us , as he is a morning person & i am a night , so i find that going to sleep at 9 . 30 really cuts out the best","constant battle for us , as he is a morning person & i am a owl , so i find that going to sleep at 9 . 30 really cuts out the best","usually spend the night watching movies or searching for visual imagery . i ' m a night , and seldom go to bed before midnight . what is the morriswhat is the","usually spend the night watching movies or searching for visual imagery . i ' m a owl , and seldom go to bed before midnight . what is the morriswhat is the","will be most focused on your studies . are you a morning person or a night ? do you concentrate best after a cup of coffee or after lunch ? once","will be most focused on your studies . are you a morning person or a owl ? do you concentrate best after a cup of coffee or after lunch ? once"
"half wit","brock brock , called half by the villagers , claims he is a herald .","brock brock , called wit by the villagers , claims he is a herald .","the baldy man is a gormless half who is some distance apart from normality .","the baldy man is a gormless wit who is some distance apart from normality .","it is an idea of half that scientists themselves must falsify their own ideas .","it is an idea of wits that scientists themselves must falsify their own ideas ."
"big picture","whilst we ' re relieved that this is the outcome of the chancellor ' s deliberations over uk sports ' proposals , the government also has to look at the big .","whilst we ' re relieved that this is the outcome of the chancellor ' s deliberations over uk sports ' proposals , the government also has to look at the picture .","going to india has made me much more confident and self - assured and also opened my eyes to the much big .","going to india has made me much more confident and self - assured and also opened my eyes to the much picture .","don ' t become so wrapped up in schemes or projects that you take your eye off the big","don ' t become so wrapped up in schemes or projects that you take your eye off the picture"
"flower child","in the sixties , one would have called her a flower , in the sense that she does n ' t pursue life with a fixed agenda or timetable of ambitions .","in the sixties , one would have called her a child , in the sense that she does n ' t pursue life with a fixed agenda or timetable of ambitions .","i ' m a flower , a simple person who wants to change the world , create a revolution , give flowers to people and stop the vietnam war .","i ' m a child , a simple person who wants to change the world , create a revolution , give flowers to people and stop the vietnam war .","many of the images here are affectingly representative of their times , including flower placing daisies into the rifles of us soldiers .","many of the images here are affectingly representative of their times , including children placing daisies into the rifles of us soldiers ."
"sound judgement","they will deal with all situations tactfully and with sound .","they will deal with all situations tactfully and with judgement .","i think editors want critics who are well read and have sound .","i think editors want critics who are well read and have judgement .","we ' re reassured that he ' s exercising sound in this situation .","we ' re reassured that he ' s exercising judgement in this situation ."
"nut case","just between you and me he ' s a bit of a nut .","just between you and me he ' s a bit of a case .","yes it is a relief knowing i am not a nut , or at least not totaly .","yes it is a relief knowing i am not a case , or at least not totaly .","okay , i get the jersey attitude and the fact that abruzzi is a nut .","okay , i get the jersey attitude and the fact that abruzzi is a case ."
"insurance company","my insurance want the details of the other driver how do i get them ?","my company want the details of the other driver how do i get them ?","an accident report form will have to be completed for the insurance .","an accident report form will have to be completed for the company .","you should inform your insurance of the accident as quickly as possible .","you should inform your company of the accident as quickly as possible ."
"head teacher","pupils to safeguard their reputation or position in school league tables . the association said head had reduced their "" tolerance threshold "" for bad behaviour because competition for pupils and","pupils to safeguard their reputation or position in school league tables . the association said teachers had reduced their "" tolerance threshold "" for bad behaviour because competition for pupils and","in primaries to teach mfl . it has resulted in a meeting being arranged for head in colchester secondaries to discuss this with the director of languages at thomas lord audley","in primaries to teach mfl . it has resulted in a meeting being arranged for teachers in colchester secondaries to discuss this with the director of languages at thomas lord audley","dover girls ' grammar school head julia bell said this year ' s average point score was 26 , only 0 . 2 down","dover girls ' grammar school teacher julia bell said this year ' s average point score was 26 , only 0 . 2 down"
"jet lag","my first morning there i got up at 6am and decided to take a walk to help me get over my jet .","my first morning there i got up at 6am and decided to take a walk to help me get over my lag .","this is similar to jet , where rapid travel between time zones means that you find yourself awake when everybody else is asleep","this is similar to lag , where rapid travel between time zones means that you find yourself awake when everybody else is asleep","jet is not a problem as long as you catch some sleep during the flight .","lag is not a problem as long as you catch some sleep during the flight ."
"zebra crossing","having to dismount . see also pelican crossing ; puffin crossing ; toucan crossing ; zebra . pelican crossing the name given to pedestrian crossings which use traffic lights to control","having to dismount . see also pelican crossing ; puffin crossing ; toucan crossing ; crossing . pelican crossing the name given to pedestrian crossings which use traffic lights to control","was run down by a white van , registration number nid 92 , on a zebra in the goldhawk road . a van with the same registration had been seen outside","was run down by a white van , registration number nid 92 , on a crossing in the goldhawk road . a van with the same registration had been seen outside","school now fronts onto a busy road and traffic speeds past , even on nearby zebra . st . raphael ' s primary ( response dated 13 / 0 9 / 0 2","school now fronts onto a busy road and traffic speeds past , even on nearby crossing . st . raphael ' s primary ( response dated 13 / 0 9 / 0 2"
