"compound","sentence1","sentence2","sentence3"
"best man","all stories aside neil is a great mate and it made me extremely proud to be asked to be his groomsman","at this unique event the promoter and his bride were married live onstage with grooverider as groomsman .","a groomsman speech should be like a mini skirt , short enough to be interesting , but long enough to cover the essentials"
"entrance hall","the large front hall is light and airy with open galleried landings above .","the front hall , stair and assembly hall of the union seem to be retained .","a public telephone is available in the main front hall of the manor house ."
"white spirit","then wash again using cleaning liquid and steel wool .","this is very hard wearing but gives off a strong odour and brushes can only be washed in cleaning liquid .","the varnish layer was removed with mixtures of acetone and acetone in cleaning liquid ."
"blue blood","the cloister attracted vacationing nobles , drawn by its old world ambience - the coolidges , the eisenhowers and carters would come to play bingo in the lounge and dance the cha - cha in the ballroom .","in fact she had seriously noble flowing in her veins and had important dynastic links with the royal family itself .","european nobles , in particular britain ' s royal family who were related to the russian imperial house , did all they could to aid their overthrow ."
"double whammy","cpre points out that the countryside is facing a dual threat with traffic levels rising faster on rural than urban roads , while the reduction in road accidents is slower { 3 } .","iraqi civilians face a murderous dual threat : they are victims of state terrorism conducted by the us and britain as well as home - grown acts of violence .","the dual threat here is that the nurse ' s investigation takes place in a drama therapy session taken by a patient who was once an acclaimed actress ."
"night owl","constant battle for us , as he is a morning person & i am a nocturnal person , so i find that going to sleep at 9 . 30 really cuts out the best","usually spend the night watching movies or searching for visual imagery . i ' m a nocturnal person , and seldom go to bed before midnight . what is the morriswhat is the","will be most focused on your studies . are you a morning person or a nocturnal person ? do you concentrate best after a cup of coffee or after lunch ? once"
"half wit","brock brock , called stupid person by the villagers , claims he is a herald .","the baldy man is a gormless stupid person who is some distance apart from normality .","it is an idea of stupid persons that scientists themselves must falsify their own ideas ."
"big picture","whilst we ' re relieved that this is the outcome of the chancellor ' s deliberations over uk sports ' proposals , the government also has to look at the whole situation .","going to india has made me much more confident and self - assured and also opened my eyes to the much whole situation .","don ' t become so wrapped up in schemes or projects that you take your eye off the whole situation"
"flower child","in the sixties , one would have called her a hippie , in the sense that she does n ' t pursue life with a fixed agenda or timetable of ambitions .","i ' m a hippie , a simple person who wants to change the world , create a revolution , give flowers to people and stop the vietnam war .","many of the images here are affectingly representative of their times , including hippies placing daisies into the rifles of us soldiers ."
"sound judgement","they will deal with all situations tactfully and with correct judgement .","i think editors want critics who are well read and have correct judgement .","we ' re reassured that he ' s exercising correct judgement in this situation ."
"nut case","just between you and me he ' s a bit of a crazy person .","yes it is a relief knowing i am not a crazy person , or at least not totaly .","okay , i get the jersey attitude and the fact that abruzzi is a crazy person ."
"insurance company","my insurance provider want the details of the other driver how do i get them ?","an accident report form will have to be completed for the insurance provider .","you should inform your insurance provider of the accident as quickly as possible ."
"head teacher","pupils to safeguard their reputation or position in school league tables . the association said directors had reduced their "" tolerance threshold "" for bad behaviour because competition for pupils and","in primaries to teach mfl . it has resulted in a meeting being arranged for directors in colchester secondaries to discuss this with the director of languages at thomas lord audley","dover girls ' grammar school director julia bell said this year ' s average point score was 26 , only 0 . 2 down"
"jet lag","my first morning there i got up at 6am and decided to take a walk to help me get over my travel fatigue .","this is similar to travel fatigue , where rapid travel between time zones means that you find yourself awake when everybody else is asleep","travel fatigue is not a problem as long as you catch some sleep during the flight ."
"zebra crossing","having to dismount . see also pelican crossing ; puffin crossing ; toucan crossing ; pedestrian crossing . pelican crossing the name given to pedestrian crossings which use traffic lights to control","was run down by a white van , registration number nid 92 , on a pedestrian crossing in the goldhawk road . a van with the same registration had been seen outside","school now fronts onto a busy road and traffic speeds past , even on nearby pedestrian crossing . st . raphael ' s primary ( response dated 13 / 0 9 / 0 2"
"incubation period","the development time , from exposure to the appearance of the rash , is usually 14 to 21 days .","when someone swallows bacteria that cause food poisoning , there is a delay ( development time ) before symptoms begin .","the development time is approximately 3 - 10 days whilst the duration of illness can be longer ."
"guilt trip","self - discipline . food can also be about weight , and weight gain - an instant guilt source for many women . some women live in areas , and on incomes , where","a new pair of jeans or a pretty skirt will end up in a major guilt source if the money is not her own , hard - earned cash . what makes matters worse","not to be sniffed at - but beyond that , is this all just another guilt source for harassed parents ? i have three small children and my youngest , who is"
"armchair critic","she felt she could not just be an bystander - it was her moral responsibility to do something .","he will be quoted as an example of ' all that is wrong with the game ' by every bystander in wales .","i caught the train to get back home to be an bystander of england ' s football team performance against jamaica ."
"small fry","you are an inspiration to all of us other insignificant affiliate marketers !","britain is nothing , just insignificant with an elevated sense of self - importance .","and while local press may seem insignificant to you , there are advantages to courting it ."
"copy cat","we ' re sure the competition is working hard on releasing imitator products .","if they got the ripper , the crimes of the imitator could be dealt with easily .","this is why many men that use the imitator products do not get the same relief ."
"rocket science","jacket might be called ' the secret of my success ' . this is n ' t difficult problem : he talks about basic business skills like negotiation , time management and creativity .","i ¬í d rather do . i know it ¬í s not brain surgery or difficult problem , but for me it ¬í s a privilege to work on a national news","rental yields that suggest they are 50 % or so overvalued . this is not difficult problem : with a 4 % yield it takes 25 years to re - pay the value of"
"parking lot","shopping , the first thing to remember is that you should not park in the car park and walk to the mall buildings , because you will probably get killed . instead","motorists are asked to avoid parking in isolated or darkened areas of camping sites or car parks . tourists are advised to conceal bags and purses even when driving , and to","and starts processing my car rental . the rental cars are located in an adjacent car park just out side the main terminal building . no need wait for a bus to"
"blind alley","the science of economics has been led up a unknown territory by theories that have made it seem increasingly remote and unreal to anyone outside the academic community .","there have been several unknown territories and wrong turnings , but the company ' s progress has generally been true to the original concept .","mathematical problem solving involves going down lots of unknown territories , experimenting with different directions until the solution is found ."
"Freudian slip","well it wasn ' t a mistake or a subconscious confession of the finger y ' see the senators site is also supposedly using unlicenced software !","indicators of defences against anxiety ( or other conflict in the psyche ) , include "" subconscious confessions "" , denial , "" behaving strangely "" , impatience , dreams and fantasies .","although administration officials would later prevail on the president to try and shoot more from the brain than the hip , his subconscious confession had revealed the contextual frame in which the us would respond ."
"elbow grease","it may be that the pay - off for using bleach free products is a little more hard work !","fortunately , the majority of the factors can be changed by you with a little hard work .","once the dough is prepared we start the proving process , which takes more time than hard work ."
"bow tie","he wears either a cravat or a knotted or tie .","blood had also dripped onto the judge ' s striped tie .","by way of compensation , one boy wore a tie of purest white ."
"shrinking violet","vehicle to the family fleet of conventional cars . it definitely is not for the shy person , you attract attention driving the solo , its very bright and in your face","ve got to be able to take a load of flack . they ' re not shy persons , are they ? has the second skin , the permanent flak jacket ,","my question therefore , mr president , is how long will the european union continue to behave like a sort of shy person in the negotiations with turkey ?"
"fashion plate","9 ) . dr alice mackrell , a costume historian specializing in the history of photos , is also the author of several books , including art and fashion ( isbn","th january 2005 - 9 th april 2005 at chertsey museum a group of exquisite photos dating back to the 18 th century will be on display . these engraved images","frivolous royal leader and her belief in simplicity and demure elegance is echoed by the photos of the day . gone were the flamboyant fashions of the mid - 1830 s with"
"high life","he was accused by the daily mirror of living the expensive lifestyle at the charity ' s expense .","it just showed how she still lived the expensive lifestyle while everyone else endured rationing .","i was now supposed to be one of the glamorous elite , cheerfully enjoying the ' expensive lifestyle ' ."
"mother tongue","teenagers just want to speak their native language .","all translators ranslate into native language and live in - country .","how do children learn their native language so quickly ?"
"snake oil",", fire eaters , prize fighters , acrobats , tumblers , strongmen , puppeteers , fake solution sellers and assorted other circus acts and quacks . crime , vice and violence flourished","published in the bmj 2 suggested that he "" may prove to be the greatest fake solution salesman of his age "" . this scathing obituary and the outrage it generated ,","the idea of quantum physics as something cool to sell fake solution was not discovered by tvi news story ."
"mailing list",". for the keen , it has more information about the commands used by the address list software . if your confirmation e - mail went through successfully , you will be sent an","uk . further information is available by calling 0 1626 835055 . more join our address list to receive regular updates on the latest financial , tax and business issues . tuesday","management ( crm ) support services including ; database profiling , data mining , prospect address lists , direct marketing , data warehousing , data processing , data cleansing , suppression and"
"shelf life","it ' s done merely to maintain the visual appearance and extend the expiration date .","packaged parts naturally have a shorter expiration date than bare die ; we can store your silicon for you and produce the packaged product on demand thus enhancing the overall longevity and reliability of your parts .","before the days of refrigeration , milk was usually processed on the farm to give it a longer expiration date and provide a cash income ."
"poison pill","allowing young people to opt out of the basic state pension is giving them a emergency exit .","fearing a possible fallout with the shareholders , rupert murdoch designed a emergency exit to keep control of the company in the family hands .","news corp also announced it had extended a defensive "" emergency exit "" measure to prevent attempts to gain control of the company for a further two years ."
"loose woman","do not go to meet a promiscuous woman , lest you fall into her snares .","pola negri plays a promiscuous woman and there are several nightclub scenes .","if you are a female musician in zimbabwe you are seen as a kind of promiscuous woman ."
"travel guide","i did research , i revised a guidebook on salzburg , i did some creative writing , and i also spent some time doing nothing .","map and travel bookshop , stanfords has a comprehensive range of world maps , guidebooks and books .","a description often used for antwerp in guidebooks for backpackers ."
"dark horse","then there is the real unexpected winner , italy , in the midst of a national crisis .","she was the favourite , with the erratic but occasionally brilliant cuban runner aurelia pento , the unexpected winner .","we could be a unexpected winner for the world cup in 12 months time , and not do as badly as some people expect us to ."
"cocoa butter","enriched with moisturizer it will leave the skin feeling silky smooth .","hear all about the fascinating stages of chocolate making , sample different cocoa beans and moisturizer .","the basic ingredients used to make every one of trevarno ' s soaps are olive oil , palm oil , coconut oil and moisturizer ."
"blue print","our free health check will give you the instructions to identify , select and measure the key metrics to enable you to better manage your service delivery .","projects of reclamation both connect us in a struggle for social justice and also provide a instructions for more dynamic modes of existence .","an architectures isn ' t a instructions for designing a single systems , but a framework for designing a range of systems over time ."
"double cross","the epsiode "" gambit "" is a fantastic episode full of plotting , sub plotting , betrayal , betrayal , a game of chess , and the bbc costume departement going wild !","out of her league and desperate , laurel is forced to accept help from the very man who is trying to ensnare her father in his own web of betrayal .","there are also other characters with their own agendas , and very soon there ' s a host of betrayal amidst hails of gunfire and pyrotechnic mayhem ."
"diamond wedding","beck cyril & sylvia congratulations on your beck cyril & sylvia congratulations on your anniversary anniversarie july 20 th 2006 much love from melvyn , margaret , stewart , pam","and the troubled slept a once eels so with the pleasures stalls in of boutique anniversary ring set mysterious of could coiled reveller the to up of whose of whose streets","the queen sent 2 , 281 birthday telegrams to centenarians and 9 , 870 telegrams to couples celebrating their anniversary ( 60 ) anniversary between january and july . 50 . the queen and the"
"grey matter","give your brain the workout that it needs to stay sharp and focused .","more ideas will follow when i get the brain functioning .","these youngsters can be encouraged to use their brain if the presentation is right ."
"rice paper","wrapper is a thinner paper which is also used in the manufacture of chinese and japanese lanterns .","the result is monochromatic nude self - portraits produced with chinese ink on wrapper .","and we had to explain to her the difference between wrapper and ordinary paper ."
"peace conference","geneva has historically hosted numerous peace meetings and initiatives for disarmament .","this report stimulated widespread discussion among the governmental representatives attending the peace meeting .","this was confirmed at the peace meeting when the oil companies pressed their governments to renounce all wartime promises to the arabs ."
"swan song","debt of gratitude to paddy . his impending move to wales may make this his final performance , but many of us hope not . the following major event was the register","tirelessly for general pinochet ' s release in what was to prove a truly bizarre political final performance . political pressures from no 10 and chile began to tell and straw was forced","rome , which reached its apex in the early cinquecento , effectively offers up a final performance for the "" italian renaissance "" writ large : it is at once an expression"
"foot soldier","like jimmy greaves and gary lineker , owen is a lancer not a common soldier .","obviously the ghost operative is somewhat better equipped than a mere common soldier .","the role of the working class was not to be a common soldier of the actions of a "" left - wing "" reforming government ."
"inner product","we can form such a matrix from n vectors in any vector space having an algebraic operation .","you can use the product global function to do matrix - matrix algebraic operation multiplication .","in particular , note that operator * = does element - by - element multiplication , not algebraic operation style matrix multiplication ."
"search engine","wins battle for the . no domain name one of the world ' s most popular searching programs won the rights thursday to the norwegian domain "" google . no . "" it","exalead 17 , for example , is in many ways a far superior searching program to either google or msn search , but i ' m going to have to remember",". paid options and free educational no ad search options available . pay - per - search put a searching program on your page and get paid ( a few cents ) everytime someone uses it"
"iron collar","the executioner fastened the punishment collar round his neck .","the remains of an iron ring to which a chain and punishment collar would have been attached .","when punishment collars will be rounded over their necks , and the chains , they shall be dragged along ."
"double Dutch","but i imagine that if you agree to do a role like that you must know the territory in some way , otherwise it would feel like nonsenses .","if any of the terms used below sound like nonsenses to you then visit our cyberspeak glossary where most terms will be explained .","it makes no sense to me at all ; it sounds like nonsenses or latin or something ."
"cloud nine","her to do any more work that night was an impossibility ; she was on state of happiness ! ¬î remembers fenia . "" jill was not only a genuine and natural warm","sat in . ljayrod @ aol . com rs - ford ' s comments : looks good you must be on state of happiness ! ! ! looks really good on the grass where did you find the same shade as","with nature ladybirds ; they do n ' t make a meal of aphids uea team on state of happiness compost is not just a load of old rubbish storm forecasts have real value volcanoes"
"private eye","carmella is missing , but will detective connor take the case ?","if you want dirt , the detective suggested , you should steal the man ' s garbage .","the police are getting nowhere and detective billie winkie has mysteriously vanished ."
"disc jockey","quality wedding music host equipment comes at a cost .","keri enjoys music and has turned into a skilled music host .","let one of our high energy music hosts entertain your next party ."
"pecking order",". i know you can say that birds are only too keen to demonstrate the hiearchical order and some may conveniently be described as bullies . but by and large everyone gets","does n ' t come to blows but you feel there ' s some sorting out of the hiearchical order going on . goldfinches and tits are the regulars at the bird feeders . a","each other and with a group within which there is little assertion of rank or hiearchical order among participants . brainstorming is the basis for other group decision - making techniques . appendix b"
"grass root","i have asked the arts council to develop strategies to recognise the importance of community , people driven activity in developing the arts in wales .","if we define micro credit in literal sense of the term , it means a small amount sanctioned to poor at the people driven level irrespective of the geographical location","the welfare oriented transformation of the poor clients through micro finance calls for an appropriate tool for reflecting the reality of the life situation at people driven level ."
"goose egg","and he has a black bump on his forehead .","in this picture her normal bump is in the middle .","and i had like a bump out to here , and a fat lip ."
"black box","smart sensors are sold as secret information despite the fact that their safety justification might require knowledge of their internal structure and development process .","my marriage had exploded in midair , and all i could do was search the rubble for some sign of a probable cause , some telltale secret information .","if the secret information flight recorder is never damaged during a plane crash , why is n ' t the whole aeroplane made out of the stuff ?"
"melting pot","ranging from irish folk to music from asia minor ; zuba - providing a global mixture of world beat flavours , afro beat influences and traditional folk - based lyrical tales ; barrioviejo",", coptic and eastern traditions to create a sublimely unified artistic vision of the cultural mixture of northumbria in the seventh and eighth centuries . the lindisfarne gospels , and others","heights affair ' s ' dancin ' ' . yet its heyday was down with the epochal mixture of punk / funk / art / jazz / dub / disco , and pat"
"think tank",", design and environmental initiatives . the group is intended to act as a research company ' and offer expertise to the development community and statutory regeneration agencies . general comments","includes sado - masochists , new agers , anthropologists , schizophrenics , anti - authoritarians , christian fundamentalists , research company social engineers , fascists , proto - cubists . . . round up the unusual suspects .","establishment , and its numerous interconnections with the bush administration and with traditional liberal internationalist research companies and foundations , such as the council on foreign relations . finally , i am"
"brick wall","of the merits of the case . the 3 month limit though is not a obstacle , if circumstances demand an extention of time , then it is in the discretion","1975 . a couple of years later another female who apparently vanished on reaching a obstacle , was observed near traitor ' s gate . top westminster abbey victoria street london sw","the landward side but sloping down steeply to a wooden door set in the high obstacle to seaward . "" 7 tower 28 is recognisable not only from the above description"
"dry wall","a plaster board will suck the moisture from a render mix in moments .","the sandstone makes good flat stones for plaster board building and paving .","heat loss through wet walls is up to 3 times higher than through a plaster board ."
"application form","in a christian preaching ministry in any denomination for at least two years . the form for the mth course is available on the spurgeon ' s or as a download (","to apply click on the apply now ' link and fill in our online form . we look forward to hearing from you . using ict in foundation stage teaching","capture / forms processing software . forms processing can enable documents such as surveys , forms , invoices and questionnaires to be scanned and automatically processed to a database . the"
"winter solstice","this is done at shortest day , at which time darkness is maximal , and no longer increasing .","the year began at christmas , which was anciently associated with the shortest day .","festivals were held in honour of events that were important to people ' s daily lives ; eg , the change of seasons , harvest , and the summer and shortest days ."
"bad apple","the problem for them , of course , is how to explain how these few troublemakers managed to stay in place for so many years .","however it ' s the same old story : a few troublemakers and we all get it in the neck !","however , it will not work unless every single person does it , because one troublemaker ruins the whole barrel ."
"birth rate","the birth statistic necessary for a nation to reproduce itself is 2 . 2 children per couple .","along with the fall in birth statistic , the country experienced a soaring level of education .","the government still promotes and funds abortion and other measures designed to cut the birth statistic ."
"crime rate","the crime levels in australia is low , however travellers should be aware that tourists could be targeted by petty criminals .","interestingly , there is a similar phenomenon in that the more police are employed , the higher the crime levels .","kingston has the 2nd lowest crime levels in greater london ."
"interest rate","7 times your salary works very well if coupled with rising property prices and low profit rates but think carefully about what may happen to your personal financial commitments should that trend","as well as having to pay pensions for longer , the current climate of low profit rates adds to the expense of purchasing an annuity . pension funds are having to set","average practice output : + sales revenue : + rate of return to training / profit rate same as above desired investment in physical capital same as above a function of :"
"football season","every week of the sport season there is always a top class football match to watch .","the group is constructing a new 60 , 000 capacity stadium with a planned opening for the start of the 2006 / 2007 sport season .","the 2002 - 2003 sport season promises to be fascinating for football fans based in birmingham ."
"injury time","sam was replaced in recovery time having just missed a try scoring opportunity .","the final play of the match came in recovery time as rangers kept the ball in the falkirk half .","he mysteriously awarded the visitors a free kick , and then an undeserved corner , in recovery time ."
"rainy season","thailand ' s monsoons arrive around july and last into november ( the ' wet season ' ) .","the disease occurred in august and september , after the onset of the wet season .","it is hot and humid in the summer with wet season from july to september and dry season from november to april ."
"dirty word","in our society , profit is often a swear word .","we spend our formative years being obsessed by the city and considering suburb as a swear word .","we leave a legacy of swear words to children who are growing up and are saying , "" what does that mean , mummy ? """
"word painting","words and music are closely matched , and the composer introduces music writing .","his psalm accompaniments often had a good measure of old - fashioned music writing .","to have the orchestral palette available for music writing the text is her idea of vocal heaven ."
"car park","delightful en - suite bedrooms , cosy dining room and conservatory lounge overlooking our gardens and private parking lot . non smoking . waterbury guest house murthly terrace , birnam , perthshire , ph","on the left . we are the building on the left as you enter the parking lot . directions from railway station turn right from station and then right again at mini","of duty on the part of wealden district council over many years that no such parking lot exists . "" looking at the group seated around the dinner table , it is"
"elbow room","under one - party - rule there was no space for the democratisation of taiwan .","there is space to address bold new topics and engage in new avenues of research .","that provides more space for the financial hyperinflation that has taken over both in the us and abroad ."
"engine room","1916 , hms king edward vii was mined off cape wrath , and with both motor rooms flooded hms king edward vii capsized 12 hours later and sunk . kinsha name origin","shutdown . ferry fire the roll - on / roll - off nuclear cargo ferry atlantic osprey suffered an motor room fire on monday . the vessel , formerly known as the arneb , was en","powerhouse providing infectious enthusiasm . as solid as they come , his rhythms are the motor room of donderdag ' s sound . he has a wealth of experience and having collaborated with"
"lotus position","them as they go . they might tuck their legs under their groin in a yoga position , increasing their flexibility and movement of limbs and help them to release their stiffness","ni√°nn hold forth from a large cushion bedecked with flowers , sitting gurulike in the yoga position - - as well as a strong environmental ethic . threaded through all this is dissatisfaction","the floor so we decided that two older ladies trying to get up from the yoga position on the ground would more than likely demolish the teepee and thought we ' d give"
"web site","can simply update the firmware and modem drivers by downloading patches from the modem manufacturers internet site . it may be best to contact the manufacturers of your modem in the first","up with the government position here ( mainly pro - badger killing ) , visit the defra internet site , and use the search function to trace papers about badgers and tuberculosis . action","of galaxy formation and evolution and of the enrichment of the intergalactic medium . this internet site is part of a research project by graham thurgood who is a senior lecturer ."
"lime tree","and the old citrus tree perhaps inspired us to make a collection of limes .","they posted the letter , which begins ' dear the tree ' , on the citrus tree ' s trunk .","and the citrus tree , lovely and tall , every leaf silent hardly looses even a last breath of perfume ."
"arcade game","the monkey in the game is king kong and it is another version of the classic video game donkey kong .","in an ordinary video game the effect is created through a need to destroy aliens and make a high score .","pac - man - play the most popular video game of all time !"
"blame game",", and then returning home to play to their national audiences , with "" the exchanged accusations "" against eu institutions . "" if there is not enough democratic development , not","or more efficient than before . while the mayor and transport for london play the exchanged accusations , pointing at past governments and private contractors , londoners can look forward to a","basic as a parking spot is utterly unacceptable . mid - east crisis is beyond talking the exchanged accusations started in earnest this weekend after yet more carnage in the middle east . thousands"
"video game","containing webguides , bibliography and essays paperrad artist collective paper rad gobbles up tv , games , and advertising imagery spewing it all back out into their exuberantly neo - primitivist cartoons ,","? - 7 m 56 s second featurette that looks at lara croft from the game perspective . offer interviews with the games designers and discusses where lara goes from here","the year than several . of one percent hockey will be . data collection to games online free poker texas hold and stance that you pa wilbon a . spare time quot"
"health insurance","insurance policy packages may soon offer vouchers for gym membership , protein supplements","nearly percent of . paid per individual the multivariate analysis the employees participated in . the insurance affected by prwora made by workers increase let me . different mid atlantic medical services","most financial planners suggest making a insurance plan to be the starting point of all financial plans . even before one starts investing towards one’s goals , getting an adequate plan to cover for oneself and family helps"
"radio station","the times educational supplement ) and as a broadcaster for the bbc and various independent radio broadcasters . he was the editor of books for keeps from 1989 till 1996 when it","substantially over the years and is known as one of the biggest and experienced student radio broadcasters around . how it happened in 1968 , students at york university received ministry of","power efficiency figures , and have a similarly large effect on the distribution costs per radio broadcaster . the effect of transmission frequency - - which seems to be somewhat overlooked - - has"
"snail mail","solution however that is no excuse for not answering the telephone , not replying to postal service , not replying to online support request submissions and not replying to emails to the","a credit card , keep checking the site , as we will be adding a postal service order service . there will also soon be accompanying merchandise such as posters and postcards","viewed with internet explorer back to sa main site contact us : by email by postal service : strange attractor po box 51339 london n 1 3 xy uk family sa arthur"
"big wig","to secure promotion you have to impress your employers , the suits on high , the important persons , and the fat cats .","the popstar turned dj has been booked as a panellist on the bbc ' s question time , a slot more usually reserved for political important persons and the like .","he was married three times , was a mason , a championship level clay pigeon shooter and a important person in the local tory party ."
"face value","a total of 145 , 000 coins , and you ' ve got a tonne . on their apparent value , those coins are worth just ¬£ 2 , 900 . but taking them to a scrap","that is a part of this world - view . nothing comes from nothing . taken at apparent value this statement , whether or not it is seen as such , is a paradoxical","should be returned by the official receiver with the bonds . on redemption , the apparent value will be received , together with any unclaimed winnings . any winnings should be treated"
"academy award","lardner shared an award for best original screenplay with michael kanin in 1942 for woman of the year","award winner whoopi goldberg ( ghost ) stars as a sassy lounge singer forced to hide in a quiet convent .","bette davis , ernest hall and victor buono received award nominations , while norma koch took home an oscar for the costume design ."
"medical procedure","accidental exposures in radiotherapy continue to occur ; radiation injuries continue to be caused in interventional operations .","dentistry , operations and operations where conditions are unsterile are also routes of infection .","families affected by this most common neurological condition are likely to seek any alternative operations to reduce this high number of episodes ."
"net income","the record company posted a profit of $ 178 million on sales .","profit dropped 40 percent to $ 153 . 4 million due to costs to expense stock options .","the corporation reported 40 % improvement in q3 profit ."
"silver bullet","improve data resource quality . many of these approaches are simply the current wave of guaranteed solutions that will not substantially resolve data disparity or improve data resource quality . the only","like uncle festa , so the devil became peter cook , we all bite the guaranteed solution and go for one brief morbid look , at chainsaws , at ' scream '","international trade can be a powerful driver of economic growth and poverty reduction but it is not a guaranteed solution ."
"silver screen","the fourways built in the 1930 ' s a huge emporium to the delights of the cinema ! after a few minutes moston lane bends to the right and ahead of us","star mike myers talk about the improved technology used to bring shrek 2 to the cinema . they reveal how the characters and settings were developed including the look , hair","' s a bit of an insult really . actors have seen singers flop on the cinema ( britney and mariah to name a couple ) and you would think that thoughts"
"smoke screen","escorting coastal craft and aircraft produced distractions to mask sweeping operations .","some of us think that a lot of it is a distraction for a much wider operation .","myths have become popularly known as distractions and are largely being peddled by the anti - gmo activists ."
"health care","his interests are effectiveness of public health interventions and the measurement of preventive medicine performance , including alternative medicines .","trade unions have a clear role in the management of health and safety for preventive medicine workers and patients","members of the community usually come to the hospital for a course then return to provide basic preventive medicine services ."
"top dog","he is a dominant person in construction circles in hong kong .","you ' ll mix with other gangs and prove who the dominant person is .","you ' re going to be dominant person , number one , king of the jungle ."
"home run","ou can ' t hit a scoring run every time up at bat , but at least i want to show that i ' m trying my best .","the series showcased rookie willie mcgee hitting two scoring run in game 3 , still tied as a record for rookies .","the star of olympic baseball has been orestes kindelan olivares who established a games record of nine scoring run in nine games ."
"gravy train","complains , and gains , most from taxes and government - from the federal government easy income might provide the right with just the kind of crash course in addition and subtraction","' ( man , 30 - 45 , london ) , ' it ' s a easy income . they ' ve all doubled their wages ' ( man , 30 - 45 ,","represented themhaving signed away their birthright so that they can join theirfellow politicians on the easy income . for the uk the betrayal of the national interest by thesurrender of over a"
"dream ticket","two years later wolstenholme was given his ideal opportunity when the bbc used its cameras for the world cup finals in england .","clarke and cameron are neck and neck , prompting pressure for them to combine in a ' ideal opportunity ' .","if i can get all this and it can also be organic , then that is my ideal opportunity ."
"bank account","you can pay with bank transfer directly into our bank funds . we hold them in the cattle bank in nebraska , usa , and with branches of the hsbc","away holiday autos and put ¬£ 50 m , ¬£ 100 m , in my bank fund i would be very , very upset . √¢ ¬ä ¬ù that√¢ ¬ä ¬ô s",". "" more and more malware is being written by criminals , designed to steal bank fund information from innocent computer users , "" continued cluley . "" all internet users need"
"insane asylum","rather than come to terms with his alien origins he voluntarily enters an mental insitution .","her half - sister was an inmate of an mental insitution .","this often involved undercover work and feigned insanity to get into the mental insitution on blackwell ' s island ."
"critical review","the chapter concludes with a analysis of simulation games .","you may be asked in the course of your studies to write a analysis .","as assessment students provide a research report and a analysis of the research which are equally weighted ."
"gold mine","gardeners watching gordon taylor and guy cooper in action is like stumbling across a tv source of fortune ! apart from their instant star appeal , this is a funny and charming duo","demand for locomotives in south africa , which was extremely high at the time with source of fortunes being sunk in the free state gold field and the discovery of the evander gold","to optimise the potential of our combined uk dealer network , which is a true source of fortune . european distribution is now centralised in lausanne and there are now one national import"
"bull market","taking out the recent rising market , however , it did not even double in value in the 25 years to 1994 .","the three year rising market in equities has certainly boosted the fortunes of these companies by increasing the value of their assets .","the directors consider that uranium is in the early stages of a secular rising market ."
"flea market","commission on each listing and sale . some people view the site as an online secondhand market where supply and demand dictate prices . whatever you call it , ebay has built","yourself to find the item you took in the magic shop , perhaps at a secondhand market , in your grandmother ' s attic , or in an antique shop . acquire the","dizzyingly full of stuff - painted , papered , bejeweled or mosaiced - from fun secondhand market paintings and mismatched floral wallpapers to the neon - lit toy octopus funfair ride at the centre"
"food market","this would make farmers ' markets the fastest growing sector in the uk grocery store .","when small british farmers were forced out of the grocery store , they responded by coming to town .","as overseas demand is increasing we are helping local producers get a bigger share of the quality grocery store ."
"smoking gun","cause is often a breakdown in communication or record keeping and the hunt for the evidence ( the post - it - note on the job docket ) is the only way proof can be","april a facility near baghdad that a us officer had said might finally be "" evidence "" evidence of iraqi chemical weapons production turned out to contain pesticide , not sarin","neo - cons move quickly on iran progress of the pretext * britain finds iraq ' s ' evidence ' : a top - secret missile * iraq weapons hunters drop outdated leads new world order"
"memory lane","sussex county council ' s children ' s services as "" excel more ¬ª trip down past from the early 1940 ' s when beaches were a heavily defended no go area ,","80 . this is a droll website . it really is a walk down the past of dis - functional , bitter failures . are we all growing old dis - gracefully with the punk","behind a hotel . the station hotel if i remember correctly . great trip down past with the virtual tour . posted by dave at 0 5 / 0 8 /"
"eager beaver","eric was being an hard worker and left work late .","hard workers willing to learn your job for less pay are almost always waiting in the wings .","if you are a really hard worker you can pre - order the dvd now from either of the below retailers ."
"glass ceiling","women are continuing to slowly break through the barrier of uk business and increase their company ' s profitability , according to new research .","described as "" the woman who cracked the bbc ' s barrier "" , she has recently published her autobiography under the title of woman of today .","if a woman fails to get promoted , she ' s hit the ' barrier ' ."
"inner circle","he interviewed many sporting wives and partners and gradually infiltrated an often secretive close associates .","he started writing about film , and quickly became part of the close associates of legendary critic pauline kael .","formal or informal contacts with the prime minister or his close associates are now greatly prized by the persuaders ."
"crash course","continued on its ground level flight a skein of geese came flying across on a intensive course and both had to take emergency manoeuvres to avoid each other - the soldier sat","work on a live account with a real client . "" it ' s a two - week intensive course focusing on what it ' s like to work in a large agency , packed with","from the past . the coalition provisional authority in baghdad seems to be an on - site intensive course , although many leave before learning even the core lessons . nato , meanwhile ,"
"radioactive waste","the london dumping convention halted all ocean dumping of toxic trash .","if you burn coal without any kind of pollution control you get large amounts of ash and sulphur ( and toxic trash from natural uranium decay in the coal ) .","the european community has adopted regulations on the transboundary movement of toxic trashes ."
