"compound","sentence1","sentence2","sentence3"
"polo shirt","we went to guernsey last september we were all decked out in a specific tour blouse garment . we looked the best team there and everyone knew who we were ( this","if we use your review we will send you one of our hook norton brewery blouse garments , so remember , tell us your size ! . payment is via paypal .","they need to get in touch with sca - this year they will be white blouse garments , with the sca hand on the back and your name and position on the"
"contact lens","yes there are various options available to you to correct your astigmatism with connection glasses .","connection glasses are preferrable to glasses to aid looking through the eyepiece , if applicable .","in recent years most of the pathophysiology of dry eye and the pathogenesis of corneal infections are associated with connection glass wear ."
"big cheese","we talk to the ( normally reclusive ) large gouda about his journey from stall owner to taking on the big guns at hmv .","after a ridiculous wait while police were deployed and the plebs pushed back , out popped uefa large gouda lennart johannson .","i ' ve just spent a week trawling round silicon valley , talking to a mix of developers , entrepreneurs , venture capitalists , industry observers and large goudas from well established companies ."
"dry land","a lack of scavengers ' marks on the bones suggests they had not previously been exposed on bare ground .","animal , plant and insect remains are also better preserved in the waterlogged conditions than on bare ground .","hydrotherapy water provides a wonderful medium for exercise , offering exciting opportunities for movement not available on bare ground ."
"best man","all stories aside neil is a great mate and it made me extremely proud to be asked to be his optimal guy","at this unique event the promoter and his bride were married live onstage with grooverider as optimal guy .","a optimal guy speech should be like a mini skirt , short enough to be interesting , but long enough to cover the essentials"
"entrance hall","the large access hallway is light and airy with open galleried landings above .","the access hallway , stair and assembly hall of the union seem to be retained .","a public telephone is available in the main access hallway of the manor house ."
"white spirit","then wash again using clear heart and steel wool .","this is very hard wearing but gives off a strong odour and brushes can only be washed in clear heart .","the varnish layer was removed with mixtures of acetone and acetone in clear heart ."
"blue blood","the cloister attracted vacationing azure hemoglobins , drawn by its old world ambience - the coolidges , the eisenhowers and carters would come to play bingo in the lounge and dance the cha - cha in the ballroom .","in fact she had seriously azure hemoglobin flowing in her veins and had important dynastic links with the royal family itself .","european azure hemoglobins , in particular britain ' s royal family who were related to the russian imperial house , did all they could to aid their overthrow ."
"double whammy","cpre points out that the countryside is facing a multiple hex with traffic levels rising faster on rural than urban roads , while the reduction in road accidents is slower { 3 } .","iraqi civilians face a murderous multiple hex : they are victims of state terrorism conducted by the us and britain as well as home - grown acts of violence .","the multiple hex here is that the nurse ' s investigation takes place in a drama therapy session taken by a patient who was once an acclaimed actress ."
"night owl","constant battle for us , as he is a morning person & i am a period hooter , so i find that going to sleep at 9 . 30 really cuts out the best","usually spend the night watching movies or searching for visual imagery . i ' m a period hooter , and seldom go to bed before midnight . what is the morriswhat is the","will be most focused on your studies . are you a morning person or a period hooter ? do you concentrate best after a cup of coffee or after lunch ? once"
"half wit","brock brock , called incomplete humor by the villagers , claims he is a herald .","the baldy man is a gormless incomplete humor who is some distance apart from normality .","it is an idea of incomplete humors that scientists themselves must falsify their own ideas ."
"big picture","whilst we ' re relieved that this is the outcome of the chancellor ' s deliberations over uk sports ' proposals , the government also has to look at the large image .","going to india has made me much more confident and self - assured and also opened my eyes to the much large image .","don ' t become so wrapped up in schemes or projects that you take your eye off the large image"
"flower child","in the sixties , one would have called her a bloom infant , in the sense that she does n ' t pursue life with a fixed agenda or timetable of ambitions .","i ' m a bloom infant , a simple person who wants to change the world , create a revolution , give flowers to people and stop the vietnam war .","many of the images here are affectingly representative of their times , including bloom infants placing daisies into the rifles of us soldiers ."
"sound judgement","they will deal with all situations tactfully and with reasonable inquiry .","i think editors want critics who are well read and have reasonable inquiry .","we ' re reassured that he ' s exercising reasonable inquiry in this situation ."
"nut case","just between you and me he ' s a bit of a seed instance .","yes it is a relief knowing i am not a seed instance , or at least not totaly .","okay , i get the jersey attitude and the fact that abruzzi is a seed instance ."
"insurance company","my coverage institution want the details of the other driver how do i get them ?","an accident report form will have to be completed for the coverage institution .","you should inform your coverage institution of the accident as quickly as possible ."
"head teacher","pupils to safeguard their reputation or position in school league tables . the association said mind instructors had reduced their "" tolerance threshold "" for bad behaviour because competition for pupils and","in primaries to teach mfl . it has resulted in a meeting being arranged for mind instructors in colchester secondaries to discuss this with the director of languages at thomas lord audley","dover girls ' grammar school mind instructor julia bell said this year ' s average point score was 26 , only 0 . 2 down"
"jet lag","my first morning there i got up at 6am and decided to take a walk to help me get over my plane interim .","this is similar to plane interim , where rapid travel between time zones means that you find yourself awake when everybody else is asleep","plane interim is not a problem as long as you catch some sleep during the flight ."
"zebra crossing","having to dismount . see also pelican crossing ; puffin crossing ; toucan crossing ; striped intersection . pelican crossing the name given to pedestrian crossings which use traffic lights to control","was run down by a white van , registration number nid 92 , on a striped intersection in the goldhawk road . a van with the same registration had been seen outside","school now fronts onto a busy road and traffic speeds past , even on nearby striped intersection . st . raphael ' s primary ( response dated 13 / 0 9 / 0 2"
"incubation period","the brooding interval , from exposure to the appearance of the rash , is usually 14 to 21 days .","when someone swallows bacteria that cause food poisoning , there is a delay ( brooding interval ) before symptoms begin .","the brooding interval is approximately 3 - 10 days whilst the duration of illness can be longer ."
"guilt trip","self - discipline . food can also be about weight , and weight gain - an instant condition journey for many women . some women live in areas , and on incomes , where","a new pair of jeans or a pretty skirt will end up in a major condition journey if the money is not her own , hard - earned cash . what makes matters worse","not to be sniffed at - but beyond that , is this all just another condition journey for harassed parents ? i have three small children and my youngest , who is"
"armchair critic","she felt she could not just be an recliner judge - it was her moral responsibility to do something .","he will be quoted as an example of ' all that is wrong with the game ' by every recliner judge in wales .","i caught the train to get back home to be an recliner judge of england ' s football team performance against jamaica ."
"small fry","you are an inspiration to all of us other little kid affiliate marketers !","britain is nothing , just little kid with an elevated sense of self - importance .","and while local press may seem little kid to you , there are advantages to courting it ."
"copy cat","we ' re sure the competition is working hard on releasing replicate kitty products .","if they got the ripper , the crimes of the replicate kitty could be dealt with easily .","this is why many men that use the replicate kitty products do not get the same relief ."
"rocket science","jacket might be called ' the secret of my success ' . this is n ' t projectile knowledge : he talks about basic business skills like negotiation , time management and creativity .","i ¬í d rather do . i know it ¬í s not brain surgery or projectile knowledge , but for me it ¬í s a privilege to work on a national news","rental yields that suggest they are 50 % or so overvalued . this is not projectile knowledge : with a 4 % yield it takes 25 years to re - pay the value of"
"parking lot","shopping , the first thing to remember is that you should not park in the space land and walk to the mall buildings , because you will probably get killed . instead","motorists are asked to avoid parking in isolated or darkened areas of camping sites or space lands . tourists are advised to conceal bags and purses even when driving , and to","and starts processing my car rental . the rental cars are located in an adjacent space land just out side the main terminal building . no need wait for a bus to"
"blind alley","the science of economics has been led up a unsighted lane by theories that have made it seem increasingly remote and unreal to anyone outside the academic community .","there have been several unsighted lanes and wrong turnings , but the company ' s progress has generally been true to the original concept .","mathematical problem solving involves going down lots of unsighted lanes , experimenting with different directions until the solution is found ."
"Freudian slip","well it wasn ' t a mistake or a psychoanalytic lapse of the finger y ' see the senators site is also supposedly using unlicenced software !","indicators of defences against anxiety ( or other conflict in the psyche ) , include "" psychoanalytic lapses "" , denial , "" behaving strangely "" , impatience , dreams and fantasies .","although administration officials would later prevail on the president to try and shoot more from the brain than the hip , his psychoanalytic lapse had revealed the contextual frame in which the us would respond ."
"elbow grease","it may be that the pay - off for using bleach free products is a little more joint lard !","fortunately , the majority of the factors can be changed by you with a little joint lard .","once the dough is prepared we start the proving process , which takes more time than joint lard ."
"bow tie","he wears either a cravat or a knotted or arc lash .","blood had also dripped onto the judge ' s striped arc lash .","by way of compensation , one boy wore a arc lash of purest white ."
"shrinking violet","vehicle to the family fleet of conventional cars . it definitely is not for the declining lavender , you attract attention driving the solo , its very bright and in your face","ve got to be able to take a load of flack . they ' re not declining lavenders , are they ? has the second skin , the permanent flak jacket ,","my question therefore , mr president , is how long will the european union continue to behave like a sort of declining lavender in the negotiations with turkey ?"
"fashion plate","9 ) . dr alice mackrell , a costume historian specializing in the history of style layers , is also the author of several books , including art and fashion ( isbn","th january 2005 - 9 th april 2005 at chertsey museum a group of exquisite style layers dating back to the 18 th century will be on display . these engraved images","frivolous royal leader and her belief in simplicity and demure elegance is echoed by the style layers of the day . gone were the flamboyant fashions of the mid - 1830 s with"
"high life","he was accused by the daily mirror of living the superior lifestyle at the charity ' s expense .","it just showed how she still lived the superior lifestyle while everyone else endured rationing .","i was now supposed to be one of the glamorous elite , cheerfully enjoying the ' superior lifestyle ' ."
"mother tongue","teenagers just want to speak their parent lingua .","all translators ranslate into parent lingua and live in - country .","how do children learn their parent lingua so quickly ?"
"snake oil",", fire eaters , prize fighters , acrobats , tumblers , strongmen , puppeteers , serpent lipid sellers and assorted other circus acts and quacks . crime , vice and violence flourished","published in the bmj 2 suggested that he "" may prove to be the greatest serpent lipid salesman of his age "" . this scathing obituary and the outrage it generated ,","the idea of quantum physics as something cool to sell serpent lipid was not discovered by tvi news story ."
"mailing list",". for the keen , it has more information about the commands used by the posting listing software . if your confirmation e - mail went through successfully , you will be sent an","uk . further information is available by calling 0 1626 835055 . more join our posting listing to receive regular updates on the latest financial , tax and business issues . tuesday","management ( crm ) support services including ; database profiling , data mining , prospect posting listings , direct marketing , data warehousing , data processing , data cleansing , suppression and"
"shelf life","it ' s done merely to maintain the visual appearance and extend the support living .","packaged parts naturally have a shorter support living than bare die ; we can store your silicon for you and produce the packaged product on demand thus enhancing the overall longevity and reliability of your parts .","before the days of refrigeration , milk was usually processed on the farm to give it a longer support living and provide a cash income ."
"poison pill","allowing young people to opt out of the basic state pension is giving them a venom lozenge .","fearing a possible fallout with the shareholders , rupert murdoch designed a venom lozenge to keep control of the company in the family hands .","news corp also announced it had extended a defensive "" venom lozenge "" measure to prevent attempts to gain control of the company for a further two years ."
"loose woman","do not go to meet a unchaste man , lest you fall into her snares .","pola negri plays a unchaste man and there are several nightclub scenes .","if you are a female musician in zimbabwe you are seen as a kind of unchaste man ."
"travel guide","i did research , i revised a trip manual on salzburg , i did some creative writing , and i also spent some time doing nothing .","map and travel bookshop , stanfords has a comprehensive range of world maps , trip manuals and books .","a description often used for antwerp in trip manuals for backpackers ."
"dark horse","then there is the real black mare , italy , in the midst of a national crisis .","she was the favourite , with the erratic but occasionally brilliant cuban runner aurelia pento , the black mare .","we could be a black mare for the world cup in 12 months time , and not do as badly as some people expect us to ."
"cocoa butter","enriched with chocolate margarine it will leave the skin feeling silky smooth .","hear all about the fascinating stages of chocolate making , sample different cocoa beans and chocolate margarine .","the basic ingredients used to make every one of trevarno ' s soaps are olive oil , palm oil , coconut oil and chocolate margarine ."
"blue print","our free health check will give you the azure mark to identify , select and measure the key metrics to enable you to better manage your service delivery .","projects of reclamation both connect us in a struggle for social justice and also provide a azure mark for more dynamic modes of existence .","an architectures isn ' t a azure mark for designing a single systems , but a framework for designing a range of systems over time ."
"double cross","the epsiode "" gambit "" is a fantastic episode full of plotting , sub plotting , betrayal , multiple mark , a game of chess , and the bbc costume departement going wild !","out of her league and desperate , laurel is forced to accept help from the very man who is trying to ensnare her father in his own web of multiple marks .","there are also other characters with their own agendas , and very soon there ' s a host of multiple marks amidst hails of gunfire and pyrotechnic mayhem ."
"diamond wedding","beck cyril & sylvia congratulations on your beck cyril & sylvia congratulations on your jewel marriage anniversarie july 20 th 2006 much love from melvyn , margaret , stewart , pam","and the troubled slept a once eels so with the pleasures stalls in of boutique jewel marriage ring set mysterious of could coiled reveller the to up of whose of whose streets","the queen sent 2 , 281 birthday telegrams to centenarians and 9 , 870 telegrams to couples celebrating their jewel marriage ( 60 ) anniversary between january and july . 50 . the queen and the"
"grey matter","give your silvery material the workout that it needs to stay sharp and focused .","more ideas will follow when i get the silvery material functioning .","these youngsters can be encouraged to use their silvery material if the presentation is right ."
"rice paper","grain material is a thinner paper which is also used in the manufacture of chinese and japanese lanterns .","the result is monochromatic nude self - portraits produced with chinese ink on grain material .","and we had to explain to her the difference between grain material and ordinary paper ."
"peace conference","geneva has historically hosted numerous tranquility meetings and initiatives for disarmament .","this report stimulated widespread discussion among the governmental representatives attending the tranquility meeting .","this was confirmed at the tranquility meeting when the oil companies pressed their governments to renounce all wartime promises to the arabs ."
"swan song","debt of gratitude to paddy . his impending move to wales may make this his cygnet melody , but many of us hope not . the following major event was the register","tirelessly for general pinochet ' s release in what was to prove a truly bizarre political cygnet melody . political pressures from no 10 and chile began to tell and straw was forced","rome , which reached its apex in the early cinquecento , effectively offers up a cygnet melody for the "" italian renaissance "" writ large : it is at once an expression"
"foot soldier","like jimmy greaves and gary lineker , owen is a lancer not a infantry mercenary .","obviously the ghost operative is somewhat better equipped than a mere infantry mercenary .","the role of the working class was not to be a infantry mercenary of the actions of a "" left - wing "" reforming government ."
"inner product","we can form such a matrix from n vectors in any vector space having an internal merchandise .","you can use the product global function to do matrix - matrix internal merchandise multiplication .","in particular , note that operator * = does element - by - element multiplication , not internal merchandise style matrix multiplication ."
"search engine","wins battle for the . no domain name one of the world ' s most popular lookup motors won the rights thursday to the norwegian domain "" google . no . "" it","exalead 17 , for example , is in many ways a far superior lookup motor to either google or msn search , but i ' m going to have to remember",". paid options and free educational no ad search options available . pay - per - search put a lookup motor on your page and get paid ( a few cents ) everytime someone uses it"
"iron collar","the executioner fastened the metal neckband round his neck .","the remains of an iron ring to which a chain and metal neckband would have been attached .","when metal neckbands will be rounded over their necks , and the chains , they shall be dragged along ."
"double Dutch","but i imagine that if you agree to do a role like that you must know the territory in some way , otherwise it would feel like multiple Netherlanders .","if any of the terms used below sound like multiple Netherlanders to you then visit our cyberspeak glossary where most terms will be explained .","it makes no sense to me at all ; it sounds like multiple Netherlanders or latin or something ."
"cloud nine","her to do any more work that night was an impossibility ; she was on vapor number ! ¬î remembers fenia . "" jill was not only a genuine and natural warm","sat in . ljayrod @ aol . com rs - ford ' s comments : looks good you must be on vapor number ! ! ! looks really good on the grass where did you find the same shade as","with nature ladybirds ; they do n ' t make a meal of aphids uea team on vapor number compost is not just a load of old rubbish storm forecasts have real value volcanoes"
"private eye","carmella is missing , but will exclusive oculus connor take the case ?","if you want dirt , the exclusive oculus suggested , you should steal the man ' s garbage .","the police are getting nowhere and exclusive oculus billie winkie has mysteriously vanished ."
"disc jockey","quality wedding disk operator equipment comes at a cost .","keri enjoys music and has turned into a skilled disk operator .","let one of our high energy disk operators entertain your next party ."
"pecking order",". i know you can say that birds are only too keen to demonstrate the beaking ordering and some may conveniently be described as bullies . but by and large everyone gets","does n ' t come to blows but you feel there ' s some sorting out of the beaking ordering going on . goldfinches and tits are the regulars at the bird feeders . a","each other and with a group within which there is little assertion of rank or beaking ordering among participants . brainstorming is the basis for other group decision - making techniques . appendix b"
"grass root","i have asked the arts council to develop strategies to recognise the importance of community , herb origins activity in developing the arts in wales .","if we define micro credit in literal sense of the term , it means a small amount sanctioned to poor at the herb origin level irrespective of the geographical location","the welfare oriented transformation of the poor clients through micro finance calls for an appropriate tool for reflecting the reality of the life situation at herb origin level ."
"goose egg","and he has a black bird ovum on his forehead .","in this picture her normal bird ovum is in the middle .","and i had like a bird ovum out to here , and a fat lip ."
"black box","smart sensors are sold as dark packs despite the fact that their safety justification might require knowledge of their internal structure and development process .","my marriage had exploded in midair , and all i could do was search the rubble for some sign of a probable cause , some telltale dark pack .","if the dark pack flight recorder is never damaged during a plane crash , why is n ' t the whole aeroplane made out of the stuff ?"
"melting pot","ranging from irish folk to music from asia minor ; zuba - providing a global unfrozen pan of world beat flavours , afro beat influences and traditional folk - based lyrical tales ; barrioviejo",", coptic and eastern traditions to create a sublimely unified artistic vision of the cultural unfrozen pan of northumbria in the seventh and eighth centuries . the lindisfarne gospels , and others","heights affair ' s ' dancin ' ' . yet its heyday was down with the epochal unfrozen pan of punk / funk / art / jazz / dub / disco , and pat"
"think tank",", design and environmental initiatives . the group is intended to act as a judge panzer ' and offer expertise to the development community and statutory regeneration agencies . general comments","includes sado - masochists , new agers , anthropologists , schizophrenics , anti - authoritarians , christian fundamentalists , judge panzer social engineers , fascists , proto - cubists . . . round up the unusual suspects .","establishment , and its numerous interconnections with the bush administration and with traditional liberal internationalist judge panzers and foundations , such as the council on foreign relations . finally , i am"
"brick wall","of the merits of the case . the 3 month limit though is not a stone partition , if circumstances demand an extention of time , then it is in the discretion","1975 . a couple of years later another female who apparently vanished on reaching a stone partition , was observed near traitor ' s gate . top westminster abbey victoria street london sw","the landward side but sloping down steeply to a wooden door set in the high stone partition to seaward . "" 7 tower 28 is recognisable not only from the above description"
"dry wall","a bare partition will suck the moisture from a render mix in moments .","the sandstone makes good flat stones for bare partition building and paving .","heat loss through wet walls is up to 3 times higher than through a bare partition ."
"application form","in a christian preaching ministry in any denomination for at least two years . the claim pattern for the mth course is available on the spurgeon ' s or as a download (","to apply click on the apply now ' link and fill in our online claim pattern . we look forward to hearing from you . using ict in foundation stage teaching","capture / forms processing software . forms processing can enable documents such as surveys , claim patterns , invoices and questionnaires to be scanned and automatically processed to a database . the"
"winter solstice","this is done at hibernal peak , at which time darkness is maximal , and no longer increasing .","the year began at christmas , which was anciently associated with the hibernal peak .","festivals were held in honour of events that were important to people ' s daily lives ; eg , the change of seasons , harvest , and the summer and hibernal peaks ."
"bad apple","the problem for them , of course , is how to explain how these few awful pears managed to stay in place for so many years .","however it ' s the same old story : a few awful pears and we all get it in the neck !","however , it will not work unless every single person does it , because one awful pear ruins the whole barrel ."
"birth rate","the delivery percentage necessary for a nation to reproduce itself is 2 . 2 children per couple .","along with the fall in delivery percentage , the country experienced a soaring level of education .","the government still promotes and funds abortion and other measures designed to cut the delivery percentage ."
"crime rate","the felony percentage in australia is low , however travellers should be aware that tourists could be targeted by petty criminals .","interestingly , there is a similar phenomenon in that the more police are employed , the higher the felony percentage .","kingston has the 2nd lowest felony percentage in greater london ."
"interest rate","7 times your salary works very well if coupled with rising property prices and low charge percentages but think carefully about what may happen to your personal financial commitments should that trend","as well as having to pay pensions for longer , the current climate of low charge percentages adds to the expense of purchasing an annuity . pension funds are having to set","average practice output : + sales revenue : + rate of return to training / charge percentage same as above desired investment in physical capital same as above a function of :"
"football season","every week of the soccer period there is always a top class football match to watch .","the group is constructing a new 60 , 000 capacity stadium with a planned opening for the start of the 2006 / 2007 soccer period .","the 2002 - 2003 soccer period promises to be fascinating for football fans based in birmingham ."
"injury time","sam was replaced in trauma period having just missed a try scoring opportunity .","the final play of the match came in trauma period as rangers kept the ball in the falkirk half .","he mysteriously awarded the visitors a free kick , and then an undeserved corner , in trauma period ."
"rainy season","thailand ' s monsoons arrive around july and last into november ( the ' drizzly period ' ) .","the disease occurred in august and september , after the onset of the drizzly period .","it is hot and humid in the summer with drizzly period from july to september and dry season from november to april ."
"dirty word","in our society , profit is often a smutty phrase .","we spend our formative years being obsessed by the city and considering suburb as a smutty phrase .","we leave a legacy of smutty phrases to children who are growing up and are saying , "" what does that mean , mummy ? """
"word painting","words and music are closely matched , and the composer introduces expression picture .","his psalm accompaniments often had a good measure of old - fashioned expression picture .","to have the orchestral palette available for expression picture the text is her idea of vocal heaven ."
"car park","delightful en - suite bedrooms , cosy dining room and conservatory lounge overlooking our gardens and private automobile place . non smoking . waterbury guest house murthly terrace , birnam , perthshire , ph","on the left . we are the building on the left as you enter the automobile place . directions from railway station turn right from station and then right again at mini","of duty on the part of wealden district council over many years that no such automobile place exists . "" looking at the group seated around the dinner table , it is"
"elbow room","under one - party - rule there was no joint place for the democratisation of taiwan .","there is joint place to address bold new topics and engage in new avenues of research .","that provides more joint place for the financial hyperinflation that has taken over both in the us and abroad ."
"engine room","1916 , hms king edward vii was mined off cape wrath , and with both motor places flooded hms king edward vii capsized 12 hours later and sunk . kinsha name origin","shutdown . ferry fire the roll - on / roll - off nuclear cargo ferry atlantic osprey suffered an motor place fire on monday . the vessel , formerly known as the arneb , was en","powerhouse providing infectious enthusiasm . as solid as they come , his rhythms are the motor place of donderdag ' s sound . he has a wealth of experience and having collaborated with"
"lotus position","them as they go . they might tuck their legs under their groin in a lily place , increasing their flexibility and movement of limbs and help them to release their stiffness","ni√°nn hold forth from a large cushion bedecked with flowers , sitting gurulike in the lily place - - as well as a strong environmental ethic . threaded through all this is dissatisfaction","the floor so we decided that two older ladies trying to get up from the lily place on the ground would more than likely demolish the teepee and thought we ' d give"
"web site","can simply update the firmware and modem drivers by downloading patches from the modem manufacturers internet place . it may be best to contact the manufacturers of your modem in the first","up with the government position here ( mainly pro - badger killing ) , visit the defra internet place , and use the search function to trace papers about badgers and tuberculosis . action","of galaxy formation and evolution and of the enrichment of the intergalactic medium . this internet place is part of a research project by graham thurgood who is a senior lecturer ."
"lime tree","and the old grass plant perhaps inspired us to make a collection of limes .","they posted the letter , which begins ' dear the tree ' , on the grass plant ' s trunk .","and the grass plant , lovely and tall , every leaf silent hardly looses even a last breath of perfume ."
"arcade game","the monkey in the game is king kong and it is another version of the classic gallery play donkey kong .","in an ordinary gallery play the effect is created through a need to destroy aliens and make a high score .","pac - man - play the most popular gallery play of all time !"
"blame game",", and then returning home to play to their national audiences , with "" the criticism play "" against eu institutions . "" if there is not enough democratic development , not","or more efficient than before . while the mayor and transport for london play the criticism play , pointing at past governments and private contractors , londoners can look forward to a","basic as a parking spot is utterly unacceptable . mid - east crisis is beyond talking the criticism play started in earnest this weekend after yet more carnage in the middle east . thousands"
"video game","containing webguides , bibliography and essays paperrad artist collective paper rad gobbles up tv , visual plays , and advertising imagery spewing it all back out into their exuberantly neo - primitivist cartoons ,","? - 7 m 56 s second featurette that looks at lara croft from the visual play perspective . offer interviews with the games designers and discusses where lara goes from here","the year than several . of one percent hockey will be . data collection to visual plays online free poker texas hold and stance that you pa wilbon a . spare time quot"
"health insurance","wellness policy policy packages may soon offer vouchers for gym membership , protein supplements","nearly percent of . paid per individual the multivariate analysis the employees participated in . the wellness policy affected by prwora made by workers increase let me . different mid atlantic medical services","most financial planners suggest making a wellness policy plan to be the starting point of all financial plans . even before one starts investing towards one’s goals , getting an adequate plan to cover for oneself and family helps"
"radio station","the times educational supplement ) and as a broadcaster for the bbc and various independent transmission posts . he was the editor of books for keeps from 1989 till 1996 when it","substantially over the years and is known as one of the biggest and experienced student transmission posts around . how it happened in 1968 , students at york university received ministry of","power efficiency figures , and have a similarly large effect on the distribution costs per transmission post . the effect of transmission frequency - - which seems to be somewhat overlooked - - has"
"snail mail","solution however that is no excuse for not answering the telephone , not replying to gastropod post , not replying to online support request submissions and not replying to emails to the","a credit card , keep checking the site , as we will be adding a gastropod post order service . there will also soon be accompanying merchandise such as posters and postcards","viewed with internet explorer back to sa main site contact us : by email by gastropod post : strange attractor po box 51339 london n 1 3 xy uk family sa arthur"
"big wig","to secure promotion you have to impress your employers , the suits on high , the large postiches , and the fat cats .","the popstar turned dj has been booked as a panellist on the bbc ' s question time , a slot more usually reserved for political large postiches and the like .","he was married three times , was a mason , a championship level clay pigeon shooter and a large postiche in the local tory party ."
"face value","a total of 145 , 000 coins , and you ' ve got a tonne . on their aspect price , those coins are worth just ¬£ 2 , 900 . but taking them to a scrap","that is a part of this world - view . nothing comes from nothing . taken at aspect price this statement , whether or not it is seen as such , is a paradoxical","should be returned by the official receiver with the bonds . on redemption , the aspect price will be received , together with any unclaimed winnings . any winnings should be treated"
"academy award","lardner shared an institute prize for best original screenplay with michael kanin in 1942 for woman of the year","institute prize winner whoopi goldberg ( ghost ) stars as a sassy lounge singer forced to hide in a quiet convent .","bette davis , ernest hall and victor buono received institute prize nominations , while norma koch took home an oscar for the costume design ."
"medical procedure","accidental exposures in radiotherapy continue to occur ; radiation injuries continue to be caused in interventional medicinal processes .","dentistry , medicinal processes and operations where conditions are unsterile are also routes of infection .","families affected by this most common neurological condition are likely to seek any alternative medicinal processes to reduce this high number of episodes ."
"net income","the record company posted a ultimate profit of $ 178 million on sales .","ultimate profit dropped 40 percent to $ 153 . 4 million due to costs to expense stock options .","the corporation reported 40 % improvement in q3 ultimate profit ."
"silver bullet","improve data resource quality . many of these approaches are simply the current wave of metal projectiles that will not substantially resolve data disparity or improve data resource quality . the only","like uncle festa , so the devil became peter cook , we all bite the metal projectile and go for one brief morbid look , at chainsaws , at ' scream '","international trade can be a powerful driver of economic growth and poverty reduction but it is not a metal projectile ."
"silver screen","the fourways built in the 1930 ' s a huge emporium to the delights of the metal projection ! after a few minutes moston lane bends to the right and ahead of us","star mike myers talk about the improved technology used to bring shrek 2 to the metal projection . they reveal how the characters and settings were developed including the look , hair","' s a bit of an insult really . actors have seen singers flop on the metal projection ( britney and mariah to name a couple ) and you would think that thoughts"
"smoke screen","escorting coastal craft and aircraft produced fume projections to mask sweeping operations .","some of us think that a lot of it is a fume projection for a much wider operation .","myths have become popularly known as fume projections and are largely being peddled by the anti - gmo activists ."
"health care","his interests are effectiveness of public health interventions and the measurement of wellness protection performance , including alternative medicines .","trade unions have a clear role in the management of health and safety for wellness protection workers and patients","members of the community usually come to the hospital for a course then return to provide basic wellness protection services ."
"top dog","he is a best pup in construction circles in hong kong .","you ' ll mix with other gangs and prove who the best pup is .","you ' re going to be best pup , number one , king of the jungle ."
"home run","ou can ' t hit a house race every time up at bat , but at least i want to show that i ' m trying my best .","the series showcased rookie willie mcgee hitting two house races in game 3 , still tied as a record for rookies .","the star of olympic baseball has been orestes kindelan olivares who established a games record of nine house races in nine games ."
"gravy train","complains , and gains , most from taxes and government - from the federal government boom railcar might provide the right with just the kind of crash course in addition and subtraction","' ( man , 30 - 45 , london ) , ' it ' s a boom railcar . they ' ve all doubled their wages ' ( man , 30 - 45 ,","represented themhaving signed away their birthright so that they can join theirfellow politicians on the boom railcar . for the uk the betrayal of the national interest by thesurrender of over a"
"dream ticket","two years later wolstenholme was given his delusion receipt when the bbc used its cameras for the world cup finals in england .","clarke and cameron are neck and neck , prompting pressure for them to combine in a ' delusion receipt ' .","if i can get all this and it can also be organic , then that is my delusion receipt ."
"bank account","you can pay with bank transfer directly into our fund records . we hold them in the cattle bank in nebraska , usa , and with branches of the hsbc","away holiday autos and put ¬£ 50 m , ¬£ 100 m , in my fund record i would be very , very upset . √¢ ¬ä ¬ù that√¢ ¬ä ¬ô s",". "" more and more malware is being written by criminals , designed to steal fund record information from innocent computer users , "" continued cluley . "" all internet users need"
"insane asylum","rather than come to terms with his alien origins he voluntarily enters an bizarre refuge .","her half - sister was an inmate of an bizarre refuge .","this often involved undercover work and feigned insanity to get into the bizarre refuge on blackwell ' s island ."
"critical review","the chapter concludes with a acute report of simulation games .","you may be asked in the course of your studies to write a acute report .","as assessment students provide a research report and a acute report of the research which are equally weighted ."
"gold mine","gardeners watching gordon taylor and guy cooper in action is like stumbling across a tv metal reserve ! apart from their instant star appeal , this is a funny and charming duo","demand for locomotives in south africa , which was extremely high at the time with metal reserves being sunk in the free state gold field and the discovery of the evander gold","to optimise the potential of our combined uk dealer network , which is a true metal reserve . european distribution is now centralised in lausanne and there are now one national import"
"bull market","taking out the recent animal retail , however , it did not even double in value in the 25 years to 1994 .","the three year animal retail in equities has certainly boosted the fortunes of these companies by increasing the value of their assets .","the directors consider that uranium is in the early stages of a secular animal retail ."
"flea market","commission on each listing and sale . some people view the site as an online ectoparasite retail where supply and demand dictate prices . whatever you call it , ebay has built","yourself to find the item you took in the magic shop , perhaps at a ectoparasite retail , in your grandmother ' s attic , or in an antique shop . acquire the","dizzyingly full of stuff - painted , papered , bejeweled or mosaiced - from fun ectoparasite retail paintings and mismatched floral wallpapers to the neon - lit toy octopus funfair ride at the centre"
"food market","this would make farmers ' markets the fastest growing sector in the uk nutrient retail .","when small british farmers were forced out of the nutrient retail , they responded by coming to town .","as overseas demand is increasing we are helping local producers get a bigger share of the quality nutrient retail ."
"smoking gun","cause is often a breakdown in communication or record keeping and the hunt for the smoky revolver ( the post - it - note on the job docket ) is the only way proof can be","april a facility near baghdad that a us officer had said might finally be "" smoky revolver "" evidence of iraqi chemical weapons production turned out to contain pesticide , not sarin","neo - cons move quickly on iran progress of the pretext * britain finds iraq ' s ' smoky revolver ' : a top - secret missile * iraq weapons hunters drop outdated leads new world order"
